"Module"	"Gene1"	"Gene2"
"M1"	"CCR4"	"PTPRR"
"M1"	"CCR4"	"BACH2"
"M1"	"CCR4"	"GLRA3"
"M1"	"CCR4"	"CATSPER1"
"M1"	"CCR4"	"CCR1"
"M1"	"DDIT4L"	"SAA1"
"M1"	"DDIT4L"	"AMHR2"
"M1"	"MATK"	"ADAM19"
"M1"	"MATK"	"NCR1"
"M1"	"MATK"	"HOXA1"
"M1"	"RBM10"	"HCK"
"M1"	"RBM10"	"MMP9"
"M1"	"RBM10"	"SPP1"
"M1"	"RBM10"	"SIGLEC9"
"M1"	"RBM10"	"LSMEM1"
"M1"	"RBM10"	"HAS1"
"M1"	"RBM10"	"RNASE3"
"M1"	"PCBP1"	"TNFRSF1B"
"M1"	"TIPIN"	"CSF3"
"M1"	"TIPIN"	"IL18RAP"
"M1"	"KDM3A"	"MMP9"
"M1"	"KDM3A"	"IGSF5"
"M1"	"KDM3A"	"SSTR3"
"M1"	"KDM3A"	"BACH2"
"M1"	"KDM3A"	"PCDH20"
"M1"	"KDM3A"	"MYO7B"
"M1"	"KDM3A"	"ADAMTSL4"
"M1"	"KDM3A"	"CD300LB"
"M1"	"KDM3A"	"GPR183"
"M1"	"KDM3A"	"IL18RAP"
"M1"	"SLC31A1"	"TNFRSF8"
"M1"	"SLC31A1"	"CSF3"
"M1"	"SLC31A1"	"IL18RAP"
"M1"	"OSR1"	"RGS13"
"M1"	"OSR1"	"CCR3"
"M1"	"OSR1"	"HOXA1"
"M1"	"OSR1"	"RNASE3"
"M1"	"FUT4"	"SLA"
"M1"	"A1BG"	"SSTR3"
"M1"	"A1BG"	"SNX10"
"M1"	"A1BG"	"PABPN1L"
"M1"	"A1BG"	"IL18RAP"
"M1"	"A1BG"	"EVI2A"
"M1"	"IRF2BPL"	"SLC7A5"
"M1"	"IRF2BPL"	"NFAM1"
"M1"	"CRIPT"	"EPHA8"
"M1"	"CRIPT"	"NNMT"
"M1"	"CRIPT"	"SIGLEC9"
"M1"	"CRIPT"	"CLEC4D"
"M1"	"CRIPT"	"EVI2A"
"M1"	"PCDH9"	"SYNM"
"M1"	"PCDH9"	"MAP7D3"
"M1"	"PCDH9"	"F13B"
"M1"	"PCDH9"	"ZNF442"
"M1"	"PCDH9"	"ATP5I"
"M1"	"PCDH9"	"F12"
"M1"	"PCDH9"	"EVX1"
"M1"	"PCDH9"	"ASUN"
"M1"	"PCDH9"	"GPRASP2"
"M1"	"PCDH9"	"CLUAP1"
"M1"	"PCDH9"	"WHSC1"
"M1"	"AP1G2"	"NPTX1"
"M1"	"AP1G2"	"PTPRR"
"M1"	"AP1G2"	"ADAMTS9"
"M1"	"KISS1R"	"NCOA5"
"M1"	"KISS1R"	"CHCHD4"
"M1"	"KISS1R"	"KIF15"
"M1"	"KISS1R"	"SRP68"
"M1"	"KISS1R"	"PLTP"
"M1"	"KISS1R"	"MEGF8"
"M1"	"KISS1R"	"SCTR"
"M1"	"KISS1R"	"EPHA5"
"M1"	"KISS1R"	"HPCAL4"
"M1"	"KISS1R"	"ACAA2"
"M1"	"KISS1R"	"SSTR3"
"M1"	"KISS1R"	"ITGB1BP2"
"M1"	"KISS1R"	"TNIP3"
"M1"	"KISS1R"	"ATXN7"
"M1"	"KISS1R"	"PELI1"
"M1"	"KISS1R"	"TMEM132C"
"M1"	"KISS1R"	"KREMEN2"
"M1"	"KISS1R"	"MMP7"
"M1"	"KISS1R"	"LYPLAL1"
"M1"	"KISS1R"	"GDPD5"
"M1"	"KISS1R"	"SLC4A2"
"M1"	"KISS1R"	"ELAVL3"
"M1"	"KISS1R"	"PRR12"
"M1"	"KISS1R"	"CDCA8"
"M1"	"KISS1R"	"FBXO24"
"M1"	"KISS1R"	"AEN"
"M1"	"KISS1R"	"ABHD4"
"M1"	"KISS1R"	"GH1"
"M1"	"KISS1R"	"PRDM8"
"M1"	"KISS1R"	"MFN2"
"M1"	"KISS1R"	"LEMD2"
"M1"	"KISS1R"	"TRIB1"
"M1"	"KISS1R"	"KIAA0087"
"M1"	"KISS1R"	"PCP4"
"M1"	"KISS1R"	"EMC9"
"M1"	"KISS1R"	"PPP1R15B"
"M1"	"KISS1R"	"CTBP1"
"M1"	"KISS1R"	"DERL1"
"M1"	"KISS1R"	"TNXB"
"M1"	"KISS1R"	"LPL"
"M1"	"KISS1R"	"PBX3"
"M1"	"KISS1R"	"ANKAR"
"M1"	"KISS1R"	"USH2A"
"M1"	"KISS1R"	"PTCHD2"
"M1"	"KISS1R"	"SERINC3"
"M1"	"KISS1R"	"C2orf42"
"M1"	"KISS1R"	"KIF20B"
"M1"	"KISS1R"	"TXNIP"
"M1"	"KISS1R"	"ZNF324"
"M1"	"KISS1R"	"CEND1"
"M1"	"KISS1R"	"EIF4EBP1"
"M1"	"KISS1R"	"TLL2"
"M1"	"KISS1R"	"IFITM2"
"M1"	"KISS1R"	"STYX"
"M1"	"KISS1R"	"RAB3GAP1"
"M1"	"KISS1R"	"LRRC29"
"M1"	"KISS1R"	"BTBD7"
"M1"	"KISS1R"	"DMRTB1"
"M1"	"KISS1R"	"METTL20"
"M1"	"KISS1R"	"SERPINB10"
"M1"	"KISS1R"	"SP1"
"M1"	"KISS1R"	"TRIM50"
"M1"	"KISS1R"	"CES3"
"M1"	"KISS1R"	"FMO3"
"M1"	"KISS1R"	"IPO4"
"M1"	"KISS1R"	"SUV39H2"
"M1"	"KISS1R"	"CD83"
"M1"	"KISS1R"	"RBBP9"
"M1"	"KISS1R"	"PIGM"
"M1"	"KISS1R"	"WIPI1"
"M1"	"KISS1R"	"WNT7A"
"M1"	"KISS1R"	"HYPK"
"M1"	"KISS1R"	"HIST1H2AK"
"M1"	"KISS1R"	"KRT10"
"M1"	"KISS1R"	"CENPE"
"M1"	"KISS1R"	"CLDN3"
"M1"	"KISS1R"	"HCN2"
"M1"	"KISS1R"	"GYPA"
"M1"	"KISS1R"	"TCEAL5"
"M1"	"KISS1R"	"ZNF473"
"M1"	"KISS1R"	"BMP4"
"M1"	"KISS1R"	"MID1"
"M1"	"KISS1R"	"SOCS4"
"M1"	"KISS1R"	"CUL3"
"M1"	"KISS1R"	"ZNF253"
"M1"	"KISS1R"	"HCFC1"
"M1"	"KISS1R"	"PLEKHB1"
"M1"	"KISS1R"	"ELFN2"
"M1"	"KISS1R"	"RAX"
"M1"	"KISS1R"	"LRCH2"
"M1"	"KISS1R"	"NIT1"
"M1"	"KISS1R"	"CNN2"
"M1"	"KISS1R"	"RIC3"
"M1"	"KISS1R"	"TRIM23"
"M1"	"KISS1R"	"GNG8"
"M1"	"KISS1R"	"HHATL"
"M1"	"KISS1R"	"SLC25A13"
"M1"	"KISS1R"	"AARS"
"M1"	"KISS1R"	"ASCL4"
"M1"	"KISS1R"	"ZBTB10"
"M1"	"KISS1R"	"HSFX1"
"M1"	"KISS1R"	"KCNK10"
"M1"	"KISS1R"	"GDF9"
"M1"	"KISS1R"	"DIO2"
"M1"	"KISS1R"	"VMAC"
"M1"	"KISS1R"	"FAM57B"
"M1"	"KISS1R"	"TCAIM"
"M1"	"KISS1R"	"ZNHIT1"
"M1"	"KISS1R"	"CALR"
"M1"	"KISS1R"	"PPM1J"
"M1"	"KISS1R"	"ZNF280C"
"M1"	"KISS1R"	"TMEM59L"
"M1"	"KISS1R"	"MERTK"
"M1"	"KISS1R"	"SRF"
"M1"	"KISS1R"	"FABP9"
"M1"	"KISS1R"	"PDLIM4"
"M1"	"KISS1R"	"SAFB2"
"M1"	"KISS1R"	"PAXBP1"
"M1"	"KISS1R"	"SPCS2"
"M1"	"KISS1R"	"SLC5A3"
"M1"	"KISS1R"	"DNPEP"
"M1"	"KISS1R"	"PCNX"
"M1"	"KISS1R"	"CTNNBL1"
"M1"	"EPHA8"	"TAF1A"
"M1"	"EPHA8"	"PRF1"
"M1"	"EPHA8"	"PTP4A1"
"M1"	"EPHA8"	"SAPCD1"
"M1"	"EPHA8"	"IFNAR1"
"M1"	"EPHA8"	"REM1"
"M1"	"EPHA8"	"APOBEC3C"
"M1"	"EPHA8"	"SRP68"
"M1"	"EPHA8"	"PPP1R2"
"M1"	"EPHA8"	"RINT1"
"M1"	"EPHA8"	"SSX2"
"M1"	"EPHA8"	"DUSP10"
"M1"	"EPHA8"	"DET1"
"M1"	"EPHA8"	"HNRNPA2B1"
"M1"	"EPHA8"	"ADIPOR2"
"M1"	"EPHA8"	"KLHL17"
"M1"	"EPHA8"	"LIN28A"
"M1"	"EPHA8"	"MAP3K6"
"M1"	"EPHA8"	"PGR"
"M1"	"EPHA8"	"VPS37D"
"M1"	"EPHA8"	"GPRC5C"
"M1"	"EPHA8"	"RNF25"
"M1"	"EPHA8"	"TXNL1"
"M1"	"EPHA8"	"LDHAL6A"
"M1"	"EPHA8"	"PRTN3"
"M1"	"EPHA8"	"AGO2"
"M1"	"EPHA8"	"SHMT2"
"M1"	"EPHA8"	"MIEF1"
"M1"	"EPHA8"	"ANG"
"M1"	"EPHA8"	"ATP6V1G1"
"M1"	"EPHA8"	"NEDD8"
"M1"	"EPHA8"	"FHL5"
"M1"	"EPHA8"	"NUDT7"
"M1"	"EPHA8"	"MCFD2"
"M1"	"EPHA8"	"PSMB7"
"M1"	"EPHA8"	"NPW"
"M1"	"EPHA8"	"SP5"
"M1"	"EPHA8"	"CPSF2"
"M1"	"EPHA8"	"VWF"
"M1"	"EPHA8"	"PFKP"
"M1"	"EPHA8"	"HMGB2"
"M1"	"EPHA8"	"DNTTIP1"
"M1"	"EPHA8"	"MT1G"
"M1"	"EPHA8"	"ZNF787"
"M1"	"EPHA8"	"YBX3"
"M1"	"EPHA8"	"DHRS13"
"M1"	"EPHA8"	"ISL1"
"M1"	"EPHA8"	"UACA"
"M1"	"EPHA8"	"PGAM5"
"M1"	"EPHA8"	"COQ6"
"M1"	"EPHA8"	"ACTA2"
"M1"	"EPHA8"	"KREMEN2"
"M1"	"EPHA8"	"L3MBTL3"
"M1"	"EPHA8"	"TP53"
"M1"	"EPHA8"	"GYS1"
"M1"	"EPHA8"	"CDCA8"
"M1"	"EPHA8"	"SLC12A3"
"M1"	"EPHA8"	"FKBPL"
"M1"	"EPHA8"	"SLC25A51"
"M1"	"EPHA8"	"PARP16"
"M1"	"EPHA8"	"TNFRSF21"
"M1"	"EPHA8"	"DOK4"
"M1"	"EPHA8"	"RPRD1A"
"M1"	"EPHA8"	"GNPDA2"
"M1"	"EPHA8"	"PAPOLA"
"M1"	"EPHA8"	"AIFM3"
"M1"	"EPHA8"	"PANX1"
"M1"	"EPHA8"	"SLX1A"
"M1"	"EPHA8"	"HRH1"
"M1"	"EPHA8"	"SYNRG"
"M1"	"EPHA8"	"ABHD6"
"M1"	"EPHA8"	"PHF1"
"M1"	"EPHA8"	"NBAS"
"M1"	"EPHA8"	"DENND4A"
"M1"	"EPHA8"	"TRIM6"
"M1"	"EPHA8"	"CREB1"
"M1"	"EPHA8"	"PCDHA10"
"M1"	"EPHA8"	"RSL24D1"
"M1"	"EPHA8"	"NAAA"
"M1"	"EPHA8"	"MRPL48"
"M1"	"RABGAP1"	"HOXA1"
"M1"	"RABGAP1"	"TLR4"
"M1"	"ERBB2"	"BCAN"
"M1"	"ERBB2"	"SLC7A5"
"M1"	"ERBB2"	"CCR3"
"M1"	"ERBB2"	"MYPN"
"M1"	"ERBB2"	"LIN7A"
"M1"	"ERBB2"	"TNFRSF1B"
"M1"	"ERBB2"	"IGFL3"
"M1"	"ERBB2"	"SNX10"
"M1"	"ERBB2"	"ADAMTS9"
"M1"	"ERBB2"	"SAA4"
"M1"	"ERBB2"	"HAS1"
"M1"	"TAF1A"	"GLI1"
"M1"	"TAF1A"	"CXCL3"
"M1"	"TAF1A"	"LRP1B"
"M1"	"NAA50"	"SNX10"
"M1"	"NAA50"	"RNASE3"
"M1"	"HFE"	"FAP"
"M1"	"HFE"	"APOA2"
"M1"	"HFE"	"THBS1"
"M1"	"HFE"	"NNMT"
"M1"	"HFE"	"CLEC4D"
"M1"	"HIPK3"	"FOLR3"
"M1"	"HIPK3"	"INHBA"
"M1"	"HIPK3"	"CSF2RB"
"M1"	"HIPK3"	"HOXA1"
"M1"	"HIPK3"	"CATSPER1"
"M1"	"SYNM"	"AQP9"
"M1"	"SYNM"	"HAS1"
"M1"	"MYO5A"	"TNFAIP6"
"M1"	"MYO5A"	"BARX1"
"M1"	"AHRR"	"SERPINE1"
"M1"	"AHRR"	"OLIG2"
"M1"	"AHRR"	"UBE2QL1"
"M1"	"AHRR"	"CSF3R"
"M1"	"AHRR"	"SSTR3"
"M1"	"AHRR"	"INHBA"
"M1"	"AHRR"	"GRIK3"
"M1"	"AHRR"	"ADAMTSL4"
"M1"	"AHRR"	"BRINP2"
"M1"	"AHRR"	"HOXA1"
"M1"	"AHRR"	"SNX10"
"M1"	"AHRR"	"BARX1"
"M1"	"AHRR"	"IL18RAP"
"M1"	"AHRR"	"AMHR2"
"M1"	"MSRB1"	"RXRG"
"M1"	"MSRB1"	"BCAN"
"M1"	"MSRB1"	"UBE2QL1"
"M1"	"MSRB1"	"SALL2"
"M1"	"MSRB1"	"MYPN"
"M1"	"MSRB1"	"KRT27"
"M1"	"MSRB1"	"CR1"
"M1"	"MSRB1"	"PLEK"
"M1"	"MSRB1"	"RASGRP4"
"M1"	"MSRB1"	"CD300LB"
"M1"	"MSRB1"	"GPR183"
"M1"	"MSRB1"	"TRIML2"
"M1"	"REG1A"	"NPTX1"
"M1"	"REG1A"	"PTPRR"
"M1"	"REG1A"	"BRINP2"
"M1"	"REG1A"	"SOHLH2"
"M1"	"REG1A"	"GPR183"
"M1"	"REG1A"	"FFAR1"
"M1"	"TLE4"	"FOLR3"
"M1"	"TLE4"	"KRT27"
"M1"	"TLE4"	"NT5DC4"
"M1"	"TLE4"	"CEACAM3"
"M1"	"TLE4"	"ADAMTS9"
"M1"	"TLE4"	"CATSPER1"
"M1"	"TLE4"	"HAS1"
"M1"	"TLE4"	"MMP19"
"M1"	"TSGA10"	"SSTR3"
"M1"	"NCOA5"	"EGR3"
"M1"	"ITGB3"	"HCK"
"M1"	"ITGB3"	"REM1"
"M1"	"ITGB3"	"SRP68"
"M1"	"ITGB3"	"PPFIA2"
"M1"	"ITGB3"	"PABPC3"
"M1"	"ITGB3"	"LDHAL6A"
"M1"	"ITGB3"	"EPHA5"
"M1"	"ITGB3"	"ACVR2B"
"M1"	"ITGB3"	"HLTF"
"M1"	"ITGB3"	"RAB25"
"M1"	"ITGB3"	"EXOSC9"
"M1"	"ITGB3"	"RAD18"
"M1"	"ITGB3"	"HIST1H1E"
"M1"	"ITGB3"	"KLHL41"
"M1"	"ITGB3"	"MAPK15"
"M1"	"ITGB3"	"SNAPC5"
"M1"	"ITGB3"	"ZNF620"
"M1"	"ITGB3"	"PSPN"
"M1"	"ITGB3"	"NOG"
"M1"	"ITGB3"	"IL13"
"M1"	"ITGB3"	"SERPINA12"
"M1"	"ITGB3"	"UBLCP1"
"M1"	"ITGB3"	"TCEA3"
"M1"	"ITGB3"	"CD79B"
"M1"	"ITGB3"	"OCIAD2"
"M1"	"ITGB3"	"KREMEN2"
"M1"	"ITGB3"	"DCK"
"M1"	"ITGB3"	"CWF19L2"
"M1"	"ITGB3"	"PDLIM7"
"M1"	"ITGB3"	"TP53"
"M1"	"ITGB3"	"NUDT15"
"M1"	"ITGB3"	"DCAF10"
"M1"	"ITGB3"	"KLHL2"
"M1"	"ITGB3"	"EVX1"
"M1"	"ITGB3"	"ZNF25"
"M1"	"ITGB3"	"CNTN2"
"M1"	"ITGB3"	"CENPT"
"M1"	"ITGB3"	"INSIG2"
"M1"	"ITGB3"	"FAM126B"
"M1"	"ITGB3"	"TPRA1"
"M1"	"ITGB3"	"C3AR1"
"M1"	"ITGB3"	"ARL14EP"
"M1"	"ITGB3"	"FAM206A"
"M1"	"ITGB3"	"LUC7L"
"M1"	"ITGB3"	"DERL1"
"M1"	"ITGB3"	"CCL8"
"M1"	"ITGB3"	"PAPOLA"
"M1"	"ITGB3"	"ZNF705G"
"M1"	"ITGB3"	"DCLK2"
"M1"	"ITGB3"	"FSCN1"
"M1"	"ITGB3"	"PFDN5"
"M1"	"ITGB3"	"CPEB1"
"M1"	"ITGB3"	"MRPS9"
"M1"	"ITGB3"	"ARMC10"
"M1"	"ITGB3"	"CCSER1"
"M1"	"ITGB3"	"ARHGAP10"
"M1"	"ITGB3"	"MMP15"
"M1"	"ITGB3"	"CCNB1"
"M1"	"ITGB3"	"LRRTM4"
"M1"	"ITGB3"	"BCL7B"
"M1"	"ITGB3"	"CCDC106"
"M1"	"ITGB3"	"HIGD1B"
"M1"	"ITGB3"	"RRAD"
"M1"	"ITGB3"	"SPATA21"
"M1"	"ITGB3"	"NKX3-1"
"M1"	"ITGB3"	"ATP2A3"
"M1"	"ITGB3"	"ZNF263"
"M1"	"ITGB3"	"CDK12"
"M1"	"ITGB3"	"LAMB4"
"M1"	"ITGB3"	"CDK5RAP2"
"M1"	"ITGB3"	"FBXL8"
"M1"	"ITGB3"	"CMSS1"
"M1"	"ITGB3"	"SCN10A"
"M1"	"ITGB3"	"IGHMBP2"
"M1"	"ITGB3"	"NDUFA12"
"M1"	"ITGB3"	"PIK3R6"
"M1"	"ITGB3"	"DDX10"
"M1"	"ITGB3"	"OPLAH"
"M1"	"ITGB3"	"CECR5"
"M1"	"ITGB3"	"VAV3"
"M1"	"ITGB3"	"ERRFI1"
"M1"	"ITGB3"	"TINAG"
"M1"	"ITGB3"	"LRWD1"
"M1"	"ITGB3"	"NR4A2"
"M1"	"ITGB3"	"COL4A3BP"
"M1"	"ITGB3"	"LPL"
"M1"	"ITGB3"	"NRROS"
"M1"	"ITGB3"	"RMND1"
"M1"	"ITGB3"	"ASAH1"
"M1"	"ITGB3"	"C5orf15"
"M1"	"ITGB3"	"CEP120"
"M1"	"ITGB3"	"C3orf38"
"M1"	"ITGB3"	"MYF6"
"M1"	"ITGB3"	"UTP3"
"M1"	"ITGB3"	"GADL1"
"M1"	"ITGB3"	"CNOT11"
"M1"	"ITGB3"	"TMCC2"
"M1"	"ITGB3"	"CLEC6A"
"M1"	"ITGB3"	"SYT1"
"M1"	"ITGB3"	"CNTNAP1"
"M1"	"ITGB3"	"BMP3"
"M1"	"ITGB3"	"LHPP"
"M1"	"ITGB3"	"APIP"
"M1"	"ITGB3"	"EEF2"
"M1"	"ITGB3"	"CABYR"
"M1"	"ITGB3"	"TXN2"
"M1"	"ITGB3"	"NQO2"
"M1"	"ITGB3"	"KIAA1715"
"M1"	"ITGB3"	"ARL17B"
"M1"	"ITGB3"	"CHST7"
"M1"	"ITGB3"	"CEP290"
"M1"	"ITGB3"	"C7orf31"
"M1"	"ITGB3"	"TAB3"
"M1"	"ITGB3"	"PIK3CD"
"M1"	"ITGB3"	"PLEKHG3"
"M1"	"ITGB3"	"CCDC92"
"M1"	"ITGB3"	"PDDC1"
"M1"	"ITGB3"	"HMGCS2"
"M1"	"ITGB3"	"KAL1"
"M1"	"ITGB3"	"CLDN15"
"M1"	"ITGB3"	"YTHDC1"
"M1"	"ITGB3"	"AP5B1"
"M1"	"ITGB3"	"CDC73"
"M1"	"ITGB3"	"UGGT1"
"M1"	"ITGB3"	"RORB"
"M1"	"ITGB3"	"GUCY2F"
"M1"	"ITGB3"	"PRLH"
"M1"	"ITGB3"	"TIMP2"
"M1"	"ITGB3"	"LRRIQ3"
"M1"	"ITGB3"	"RNF214"
"M1"	"ITGB3"	"MXD3"
"M1"	"ITGB3"	"PLEKHH3"
"M1"	"ITGB3"	"OSTC"
"M1"	"ITGB3"	"PEX26"
"M1"	"ITGB3"	"ZNF816"
"M1"	"ITGB3"	"TFEC"
"M1"	"ITGB3"	"PBX3"
"M1"	"ITGB3"	"RLBP1"
"M1"	"ITGB3"	"SIRT5"
"M1"	"ITGB3"	"PSMC6"
"M1"	"ITGB3"	"SMC5"
"M1"	"ITGB3"	"PXDNL"
"M1"	"ITGB3"	"TTYH1"
"M1"	"ITGB3"	"VSIG8"
"M1"	"ITGB3"	"SH3GLB2"
"M1"	"ITGB3"	"FASTKD2"
"M1"	"ITGB3"	"AKR1A1"
"M1"	"ITGB3"	"CDK6"
"M1"	"ITGB3"	"TRIM5"
"M1"	"ITGB3"	"ANKAR"
"M1"	"ITGB3"	"USH2A"
"M1"	"ITGB3"	"PTCHD2"
"M1"	"ITGB3"	"ODF1"
"M1"	"ITGB3"	"SERINC3"
"M1"	"ITGB3"	"C2orf42"
"M1"	"ITGB3"	"KIF26B"
"M1"	"ITGB3"	"ZNF827"
"M1"	"ITGB3"	"SMPD2"
"M1"	"ITGB3"	"KIF20B"
"M1"	"ITGB3"	"TCEA2"
"M1"	"ITGB3"	"TTC3"
"M1"	"ITGB3"	"TXNIP"
"M1"	"ITGB3"	"SPRED1"
"M1"	"ITGB3"	"FAM136A"
"M1"	"ITGB3"	"MOB4"
"M1"	"ITGB3"	"ASRGL1"
"M1"	"ITGB3"	"ABCG4"
"M1"	"ITGB3"	"ZNF324"
"M1"	"ITGB3"	"MORC3"
"M1"	"ITGB3"	"LLGL2"
"M1"	"ITGB3"	"TM9SF4"
"M1"	"ITGB3"	"EPB41L4A"
"M1"	"ITGB3"	"RFC5"
"M1"	"ITGB3"	"TOMM40L"
"M1"	"ITGB3"	"FLOT2"
"M1"	"ITGB3"	"GLRX"
"M1"	"ITGB3"	"CEND1"
"M1"	"ITGB3"	"MANEA"
"M1"	"ITGB3"	"RLTPR"
"M1"	"ITGB3"	"SEMA4C"
"M1"	"ITGB3"	"PIP5K1C"
"M1"	"ITGB3"	"ZNF319"
"M1"	"ITGB3"	"HMX3"
"M1"	"ITGB3"	"KCNE3"
"M1"	"ITGB3"	"ELP5"
"M1"	"ITGB3"	"SLC39A10"
"M1"	"ITGB3"	"UBTD2"
"M1"	"ITGB3"	"DTX3L"
"M1"	"ITGB3"	"ZC3H7A"
"M1"	"ITGB3"	"NXPH2"
"M1"	"ITGB3"	"HPCAL1"
"M1"	"ITGB3"	"CBR4"
"M1"	"SLA"	"CHUK"
"M1"	"SLA"	"WBP5"
"M1"	"SLA"	"RAB4A"
"M1"	"SLA"	"CES1"
"M1"	"SLA"	"SUN2"
"M1"	"SLA"	"TNIP3"
"M1"	"SLA"	"LHX1"
"M1"	"SLA"	"RRM2B"
"M1"	"SLA"	"KRT12"
"M1"	"SLA"	"SPP1"
"M1"	"SLA"	"TNNI2"
"M1"	"SLA"	"CMA1"
"M1"	"SLA"	"WIZ"
"M1"	"SLA"	"HMGB2"
"M1"	"SLA"	"CHORDC1"
"M1"	"SLA"	"CD1E"
"M1"	"SLA"	"PRTFDC1"
"M1"	"SLA"	"ZNF33B"
"M1"	"SLA"	"PRDM16"
"M1"	"SLA"	"CUL2"
"M1"	"SLA"	"CD79B"
"M1"	"SLA"	"NUDT15"
"M1"	"SLA"	"GPR183"
"M1"	"SLA"	"MIA2"
"M1"	"SLA"	"ELAVL3"
"M1"	"SLA"	"SLC25A51"
"M1"	"SLA"	"CCDC110"
"M1"	"SLA"	"LPAR4"
"M1"	"SLA"	"CHMP7"
"M1"	"SLA"	"CACNA1F"
"M1"	"SLA"	"THBS2"
"M1"	"SLA"	"RPRD1A"
"M1"	"SLA"	"NOTCH4"
"M1"	"SLA"	"ARHGAP10"
"M1"	"SLA"	"CEP290"
"M1"	"SLA"	"RNF214"
"M1"	"SLA"	"PEX26"
"M1"	"SLA"	"ABCG4"
"M1"	"SLA"	"ZNF202"
"M1"	"SLA"	"KLF5"
"M1"	"SLA"	"EXOC7"
"M1"	"SLA"	"STOX2"
"M1"	"SLA"	"DNAAF1"
"M1"	"SLA"	"CPEB4"
"M1"	"SLA"	"LOH12CR1"
"M1"	"SLA"	"CSNK1G1"
"M1"	"SLA"	"BTBD7"
"M1"	"SLA"	"TSHZ2"
"M1"	"SLA"	"HGS"
"M1"	"SLA"	"BNC1"
"M1"	"SLA"	"ATP2B2"
"M1"	"SLA"	"PFKM"
"M1"	"SLA"	"GYPA"
"M1"	"SLA"	"AGRP"
"M1"	"SLA"	"RPS3A"
"M1"	"SLA"	"SGCG"
"M1"	"SLA"	"GINS2"
"M1"	"SLA"	"FASTKD5"
"M1"	"SLA"	"TAF1C"
"M1"	"SLA"	"ORC2"
"M1"	"SLA"	"PRAMEF16"
"M1"	"SLA"	"BRMS1"
"M1"	"SLA"	"AMOT"
"M1"	"SLA"	"SPA17"
"M1"	"SLA"	"EFCAB6"
"M1"	"SLA"	"KIAA1586"
"M1"	"SLA"	"UBTD1"
"M1"	"SLA"	"GPR78"
"M1"	"SLA"	"PIK3C2B"
"M1"	"SLA"	"ZC3HC1"
"M1"	"SLA"	"MED18"
"M1"	"SLA"	"SVIL"
"M1"	"SLA"	"MPPED2"
"M1"	"SLA"	"LCE3D"
"M1"	"SLA"	"DAZL"
"M1"	"SLA"	"THEM4"
"M1"	"SLA"	"PEX5"
"M1"	"SLA"	"BMI1"
"M1"	"SLA"	"YME1L1"
"M1"	"SLA"	"EFNA4"
"M1"	"SLA"	"CDKL2"
"M1"	"SLA"	"TMX3"
"M1"	"SLA"	"DDX27"
"M1"	"SLA"	"NUAK1"
"M1"	"SLA"	"LMLN"
"M1"	"SLA"	"MON1A"
"M1"	"SLA"	"CBR3"
"M1"	"SLA"	"AKAP14"
"M1"	"SLC30A3"	"PTP4A1"
"M1"	"SLC30A3"	"FBL"
"M1"	"SLC30A3"	"MIEF2"
"M1"	"SLC30A3"	"SERPINB8"
"M1"	"SLC30A3"	"ANKZF1"
"M1"	"SLC30A3"	"AAMDC"
"M1"	"SLC1A1"	"CR1"
"M1"	"SLC1A1"	"NFAM1"
"M1"	"SLC1A1"	"HAS1"
"M1"	"SLC1A1"	"SLC12A1"
"M1"	"H1F0"	"FOLR3"
"M1"	"SARNP"	"HCK"
"M1"	"SARNP"	"SSTR3"
"M1"	"SARNP"	"CAMK1G"
"M1"	"SARNP"	"GPR183"
"M1"	"SARNP"	"AREG"
"M1"	"SARNP"	"HLX"
"M1"	"UBE2Q1"	"ADAM19"
"M1"	"CIZ1"	"GLI1"
"M1"	"CIZ1"	"BCAN"
"M1"	"CIZ1"	"SLC7A5"
"M1"	"CIZ1"	"MMP9"
"M1"	"CIZ1"	"MYPN"
"M1"	"TMED1"	"CD300LB"
"M1"	"TMED1"	"IL18RAP"
"M1"	"SCGB3A2"	"FOLR3"
"M1"	"SCGB3A2"	"GLI1"
"M1"	"SCGB3A2"	"CLEC4D"
"M1"	"CBLL1"	"SERPINE1"
"M1"	"CBLL1"	"NPTX1"
"M1"	"CBLL1"	"OLIG2"
"M1"	"CBLL1"	"UBE2QL1"
"M1"	"CBLL1"	"CSF3R"
"M1"	"CBLL1"	"INHBA"
"M1"	"CBLL1"	"GRIK3"
"M1"	"CBLL1"	"BRINP2"
"M1"	"CBLL1"	"HOXA1"
"M1"	"CBLL1"	"IL18RAP"
"M1"	"PRKAB2"	"FOLR3"
"M1"	"PRKAB2"	"HCK"
"M1"	"PRKAB2"	"CREB5"
"M1"	"PRKAB2"	"NPTX1"
"M1"	"PRKAB2"	"TENM1"
"M1"	"PRKAB2"	"SSTR3"
"M1"	"PRKAB2"	"EGR2"
"M1"	"PRKAB2"	"PTPRR"
"M1"	"PRKAB2"	"CCR3"
"M1"	"PRKAB2"	"BACH2"
"M1"	"PRKAB2"	"NOG"
"M1"	"PRKAB2"	"IL13"
"M1"	"PRKAB2"	"CCL24"
"M1"	"PRKAB2"	"ERMN"
"M1"	"PRKAB2"	"SOHLH2"
"M1"	"PRKAB2"	"EGR1"
"M1"	"PRKAB2"	"CD300LB"
"M1"	"PRKAB2"	"IRGC"
"M1"	"PRKAB2"	"PABPN1L"
"M1"	"PRKAB2"	"GLRA3"
