"modules"	"0100/015/007"	"0285/015/009"	"1000/015/002"	"1005/015/008"	"1009/015/013"	"1011/015/015"	"1013/015/017"	"1015/015/019"	"1016/015/020"	"1017/015/021"	"1018/015/022"	"1019/015/023"	"1051/016/036"	"1058/016/043"	"1084/016/071"	"1089/016/076"	"1092/016/079"	"1106/016/093"	"1150/016/137"	"1155/016/142"	"1158/016/145"	"1161/016/148"	"1163/016/150"	"1184/016/171"	"1190/016/177"	"1195/016/182"	"1204/016/191"	"1435/019/073"	"1480/019/118"	"1484/019/122"	"1486/019/124"	"1500/019/138"	"1503/019/141"	"1504/019/142"	"1526/019/164"	"1535/019/173"	"1537/019/175"	"1541/019/179"	"1542/019/180"	"1543/019/181"	"1544/019/182"	"1545/019/183"	"1547/019/185"	"1551/019/189"	"1553/019/191"	"1554/019/192"	"1555/019/193"	"1556/019/194"	"1557/019/195"	"1558/019/196"	"1559/019/197"	"1563/019/201"	"1564/019/202"	"1565/019/203"	"1566/019/204"	"1567/019/205"	"1568/019/206"	"1569/019/207"	"1571/019/209"	"1573/019/211"	"1575/019/213"	"1576/019/214"	"1581/019/219"
"M1"	0.00546342248515708	-0.0970074955227569	0.00694107543932709	0.358258418947658	-0.123300071504284	-0.00766345058542572	-0.0838261121170031	-0.0989718685886833	0.173257216364356	0.0639193631724086	-0.114755310336635	-0.0902594364405325	-0.0192086466495856	-0.246241354452816	0.0430741440616734	0.0767523835836316	-0.0187811968136681	-0.00582918441821469	0.0182926331922062	0.153795851602321	-0.202624484539058	0.0804014295193827	-0.0212204872085263	0.125267865405439	0.041715017616154	0.0613740398310029	0.0284702899133553	0.0103245395971554	0.0632257751696793	-0.0949566237511147	-0.305461418459201	0.0312929145763608	0.199565222293438	0.00457439086153644	0.00273943979787285	-0.0259169465228717	-0.00339524177976962	0.129994771061017	-0.0213523626091613	-0.1439588098223	-0.0376979521379826	-0.0191129627612565	0.00422905867633979	0.0193107533688885	-0.264841391485175	0.101892921452062	0.0804172199101959	0.0263155873776301	-0.165911279232399	0.0642462561745606	0.247719374920196	0.0227209242886295	0.295585887264536	-0.0883832457354817	-0.214464010751418	0.00743233665445199	-0.025810490048658	0.228016730796483	-0.141790067494651	0.0721641928532037	0.0397413199258583	-0.112535808350421	-0.0932150580351152
"M2"	-0.355695456375713	0.0621170740016102	0.420171409359996	-0.296394210779548	0.234092095846005	-0.174243037995941	-0.00848153021980755	-0.397746398740023	0.267078695486332	0.392869671244783	0.213382517770842	0.0566328118086075	-0.0558903560700945	0.0245964114810983	-0.0680023229176428	-0.0109486407047546	-0.0506736133598634	0.0144585646275709	-0.0377496762870636	-0.0139704894986956	0.0185169861412575	-0.0525821961794094	0.0598833200666994	-0.00117160178141718	-0.0280379936683855	0.0082035480904551	-0.00359385317490264	-0.0691904629419038	-0.0678974586536663	0.0308932349996731	0.0757638982970182	-0.0502286872278524	0.0153293129004701	0.0305036492125132	0.00856211974628941	-0.0266632991036463	-0.0227004706189288	-0.0581435322149491	-0.00444711027049433	0.00123109739055707	-0.025267936223862	-0.0323004743253338	0.018256996882418	0.0460406913288815	-0.0332389731109894	-0.0971585436990745	0.00144065396258667	0.0274065982218392	0.0329235566399547	-0.0455214425749851	0.0168394469908551	-0.0207010355631723	0.0191249801521471	0.00669810390398876	-0.0563828448468449	-0.0446474133094669	0.0914433895163389	-0.0012296488363945	0.0381107391450665	-0.0782397880425752	0.0361905624333196	0.00225740790231877	0.0181209537659067
"M3"	0.225128708119471	-0.0683823659243588	-0.130933042488024	0.113094897077388	0.0570397122104115	0.116007511590203	0.185709348911798	-0.0379386879767197	-0.0972195480024213	0.0155619513737543	0.0396764420766162	-0.0230832162413339	0.230091275110397	-0.24562710185384	0.201836658072233	0.173497638310331	-0.0499444016079232	-0.0163669651399597	-0.0787664819963915	0.0178944909392053	-0.071889842447438	0.143579220540736	-0.135524092047134	0.0340347693349491	0.0732271064481112	0.0276545966900539	-0.040252561986133	0.00297254346894523	0.108926160409757	-0.100118933825661	-0.401882811623207	-0.0416016316027716	-0.0842112041292414	-0.0702504227903154	-0.0468635489595707	0.0312247469877035	0.0144529349217679	0.176676148399438	0.0276628309305368	0.0307818893668962	-0.0101155025068516	0.16363679232475	-0.0711941268465206	-0.0400370972652487	-0.0803639212168672	0.293297248162997	-0.0355181582213083	-0.0381593169973574	-0.0989880683694411	0.153576582933049	0.0119749554808755	0.0565875618064367	0.035321431266515	-0.125845894745713	-0.0989079570478284	0.128133456594573	-0.283594926409458	0.0764940326504124	-0.159718929362306	0.0454270514293584	-0.0421765476672484	0.0269406015424646	-0.212643988183541
"M4"	0.142914286723344	0.0132006778362184	-0.105866343748728	-0.217637906953383	0.0227329840821739	-0.0406698301019247	-0.0204075142535942	0.0629496523804969	-0.0833924278476549	0.0253145316179834	0.029924947108183	0.029337141227832	0.179559854517302	-0.194612160420199	0.222292983441525	0.116712331006222	0.0223975301996502	-0.0307171429899177	-0.0646194120183418	-0.0587508633847398	-0.0441411616149164	0.0897135340078897	-0.112853396548916	0.0515318978350053	0.1453625863306	-0.0174014884224066	-0.0600015809661089	0.0778648186393757	0.2347505967808	0.00306298252433668	-0.348754344972556	0.0386162826139862	-0.0933877735412045	0.0364925902564781	-0.017970151417587	0.118117911586392	0.0282421700418227	0.144925534108703	0.0574672733091924	-0.0140004466584211	0.0202027071765031	0.216504104596228	-0.0490976762914472	-0.109925606665654	-0.0319282396954752	0.283366382247039	-0.091332575735052	-0.0475809565663445	0.0565379064589755	0.102800468185338	0.0495791040836031	0.106189225701819	-0.0814040599463607	-0.180195634706316	-0.137503535226883	0.168877820233609	-0.382938177342924	-0.0765989059505131	-0.0435787902482138	0.110092162124452	-0.050421065532618	0.00388162464197495	-0.20382743385665
"M5"	0.123440783991463	-0.168250957095566	-0.00143057618867004	0.162015097762818	-0.132742607503477	-0.0331694724300589	-0.0663501908090487	0.0405988842033856	-0.00158966397397579	0.0603577802737918	-0.0756261800010909	-0.00327944546030932	-0.0981448802784612	-0.0256411207398397	-0.0216624651370954	0.0269236362881689	-0.0539059627943355	-0.067308215640896	0.11635818117595	0.0891561793859378	-0.364500873605822	0.0161379286698815	0.0295618565501654	0.183601523592768	-0.0721659004227033	0.00981044319512666	-0.0277212974101487	-0.00153438035225058	0.428426580632977	-0.0493291245538144	-0.20283676049248	0.117581658661393	0.401199292745807	0.0313262293727979	0.0364019235970824	-0.0132579702820343	-0.0838876465642314	0.231141461212437	-0.0207181195120938	-0.0832165818062821	-0.0632379004565548	-0.102779518164163	-0.0802907081887365	-0.177955850903255	-0.0896730801504329	0.0998313895007569	-0.0459562102501261	0.0140109882993088	-0.00616027390240808	-0.00743355071682949	0.0646217573934333	0.0154374981967156	0.0635365034469952	-0.0866829367204511	-0.182644388103967	0.00724848499908477	-0.00979008291620692	0.187176145334978	-0.0677225234577173	0.154949065165995	-0.0253519524815381	-0.143658446085395	0.0467565419032482
"M6"	0.136012220661226	-0.0931384999888482	-0.685971322333312	-0.114000304297152	0.329194576108226	0.152587888366382	0.386919206397254	-0.105734178879095	0.253673814563159	-0.0978715271907699	0.210430086890582	0.0529888403801141	-0.00105059691621079	-0.0949699189257403	0.0144943767239661	0.0304857693074431	-0.00628423702826846	0.0303114149587089	-0.00488896283028293	-0.0180635056493991	-0.037667200791783	-0.00578065707184179	-0.0105629807788803	0.0150810246201755	-0.0132694222650585	-0.00490289896118664	-0.0189260872061892	-0.0248242086000869	-0.0109133390912353	-0.0229041621583385	-0.0708010697915001	-0.0304555018053525	-0.00881241572256898	-0.0128912289699522	-0.0276782790037291	0.00881275209432296	-0.00617606175544312	-0.0367727628163049	-0.00597298631196992	0.0512421295322961	-0.0116453422746586	-0.012295971937321	-0.00556429094585203	0.200243350316985	-0.0311006349054035	0.0177790784775254	-0.0175272808823448	-0.0177666948613113	-0.00596249596349232	-0.0157924790240712	-0.0144584226410093	-0.00364975783760714	-0.00391181421428863	-0.0382325502280702	-0.0430642871522628	0.0196768745545621	-0.00503267125253309	-0.0115440856795453	-0.0325200309033272	-0.0299883735571342	-0.0220286660202989	0.00342504864975288	-0.0199882851816514
"M7"	0.202458181325012	-0.0715567736773823	-0.414730133344115	-0.17672934064382	0.2289506468093	0.230142047250266	0.468434805921962	-0.0625026880548353	-0.166729693633072	0.103933930735614	0.260760942631634	-0.0513334365787006	0.0927196678700439	-0.253808743703388	0.0952985891088466	0.113597483845286	-0.0808234987921549	0.0670645940669902	-0.0400572736973723	-0.032255036754532	-0.0264498213881442	0.049184491749331	-0.0428605785688526	0.0477183365903165	0.0127292199734554	-0.00513842770339496	-0.0537334178710953	-0.00920147351767507	-0.0416370281390427	-0.0369689001666775	-0.200678595886869	-0.0509833019546351	-0.0803924150687259	-0.032181743559966	-0.0455803951049563	0.00808577599183227	0.00166051141419335	-0.0215185577410182	-0.00815891796239105	0.160678597697253	-0.0282126664126684	-0.039502789515676	-0.0496200324536046	0.153068263270727	-0.00823208762822988	0.108322541264078	-0.0309029615170956	0.022842290288621	-0.0362817686886447	0.0358408769577382	0.0453352295328966	-0.0272045356291396	0.0624223711911041	-0.0600600895174452	-0.0613840560305655	0.0678070292257297	-0.0730101018962123	0.0977326534488856	-0.118898382965983	-0.0446862769215958	-0.0510140447228764	0.0201059414299588	-0.121875032178524
"Not.Correlated"	-0.00609401377196957	0.0568774087136276	-0.0854371843868892	0.382798677795818	0.678417360605981	-0.00494058678306709	-0.36427623844099	0.133362525817776	0.341649780579975	-0.0274679633925519	-0.0246000094421244	-0.162137669540963	-0.029960349609107	0.0399665944583615	0.0151516094147807	-0.0207785574327218	0.00930362333857076	0.0039011646761596	-0.0298596286942358	-0.0335652177313714	0.0216260110640117	-0.0143020748577464	-0.0343906642074191	-0.009747910549344	0.031966699464363	-0.0459005179035261	0.0157960692907706	-0.0697207516135947	-0.00829242748957903	-0.0162327462238264	-0.0457772591658202	-0.0880926051386571	-0.000700261945025786	0.0241349459071494	-0.00856732866324855	0.00434304474092183	-0.0351795454067321	-0.0178444799877957	-0.000138796912943626	-0.0279129839681589	-0.0270224795195988	-0.0342149361490295	-0.0273233264572143	-0.0864441516137098	-0.00507507656224236	-0.00377819524708624	0.00675633258570119	0.0694868463561763	0.0258907210736385	-0.0131046018819629	-0.0126886174833559	-0.0470429556746366	-0.0774519864909887	-0.0267247702412732	-0.0690273366443359	0.0119536544700704	-0.0192624586386326	-0.0965337123834835	0.000964567684692225	-0.0630423769829503	-0.0736285299058657	0.0804783832134679	-0.0605427361162374
