"pathway"	"F"	"M"
"M2"	3.44259927644551e-16	7.3683398161006e-16
"M3"	1	1
"M4"	6.61412369976372e-05	0.000108706357761126
"M5"	2.66813062535225e-34	1.74028132964562e-34
"M6"	1	1
"M7"	0.705479452054794	0.742315573770492
"Not.Correlated"	1	1
