"pathway"	"F"	"M"
"M2"	0.349629812200042	-0.349629812200042
"M3"	0.156042001264985	-0.156042001264985
"M4"	0.266603700730651	-0.266603700730651
"M5"	-0.532814606805879	0.532814606805879
"M6"	-0.121812598407358	0.121812598407358
"M7"	0.214718521303817	-0.214718521303817
"Not.Correlated"	-0.18334180282767	0.18334180282767
