"pathway"	"NEG_F"	"POS_F"	"NEG_M"	"POS_M"
"M2"	7.84375442103192e-24	0.166087210447673	1.65246225452028e-25	0.989655172413793
"M3"	0.000131245139037078	6.16981717481616e-05	1	0.707329842931937
"M4"	0.575210589651023	1.2672494511681e-12	1.19305826118949e-11	0.000336809512954479
"M5"	5.84206953443271e-07	2.2365521504357e-15	6.54305814508438e-59	3.38141581264675e-06
"M6"	0.555757575757576	0.966037735849057	1	0.715384615384615
"M7"	0.483387622149837	0.966037735849057	0.00244062370517907	1.26092102216895e-05
"Not.Correlated"	0.068996189444343	0.0595388466075224	1	0.989655172413793
