gene_id	logFC	logCPM	F	PValue	FDR	dataset_name	group_name	comparison_name
ENSG00000130164	-1.38940017153031	7.02331991010355	38.0136325572902	2.17581591555426e-05	0.504832808726899	Adults2	NEG_F	baseline_D9
ENSG00000254332	-2.66534867900425	-1.51451622948051	27.3796543566731	0.000116057138218206	0.743211550561426	Adults2	NEG_F	baseline_D9
ENSG00000158473	-1.45803918510213	1.66714778040862	26.3583750087174	0.000139446878475185	0.743211550561426	Adults2	NEG_F	baseline_D9
ENSG00000119946	1.84937870197175	3.43973564845228	25.3795797188844	0.000167037532678919	0.743211550561426	Adults2	NEG_F	baseline_D9
ENSG00000148660	0.612902874493268	6.51462943618713	24.8558789369094	0.000184331105928204	0.743211550561426	Adults2	NEG_F	baseline_D9
ENSG00000176406	-3.74976702980688	-0.888271477724513	24.6360295336166	0.000192193315376629	0.743211550561426	Adults2	NEG_F	baseline_D9
ENSG00000088808	0.513729929801394	6.22603123099718	23.2404285928506	0.000252030035744422	0.821696645300081	Adults2	NEG_F	baseline_D9
ENSG00000204397	-1.17771487748617	3.02291500753157	22.6541938241377	0.000283319246720138	0.821696645300081	Adults2	NEG_F	baseline_D9
ENSG00000127951	-1.20092209148278	4.36515009997263	21.7601717896854	0.000339970149189282	0.876443044609968	Adults2	NEG_F	baseline_D9
ENSG00000108932	-1.23089457408548	2.86143760276844	21.0773759212453	0.000392020492720985	0.909565947211228	Adults2	NEG_F	baseline_D9
ENSG00000126775	0.649203492715998	5.22953352268706	19.7511590339316	0.000521400605737881	1	Adults2	NEG_F	baseline_D9
ENSG00000064042	0.715340538263782	5.38214537401059	18.3651227957931	0.000711578685220947	1	Adults2	NEG_F	baseline_D9
ENSG00000173402	0.440706946702594	7.3369630910961	17.4250791859633	0.000885825512002497	1	Adults2	NEG_F	baseline_D9
ENSG00000132514	-1.69851695216409	1.67948488229309	17.1670647325888	0.000941860164723944	1	Adults2	NEG_F	baseline_D9
ENSG00000137033	-0.936515933968595	7.80782549753625	17.0916674707638	0.000958992066041779	1	Adults2	NEG_F	baseline_D9
ENSG00000186994	1.09123913329455	1.62629240964461	16.9231362049426	0.000998589906866337	1	Adults2	NEG_F	baseline_D9
ENSG00000196972	1.74849687459839	0.565494191867728	16.8070016449504	0.00102696494114339	1	Adults2	NEG_F	baseline_D9
ENSG00000205978	0.555958988157911	6.95348952394633	16.6441453814563	0.00106832201490725	1	Adults2	NEG_F	baseline_D9
ENSG00000132613	0.521049661430695	5.44698101291185	16.5773992457537	0.00108581980881521	1	Adults2	NEG_F	baseline_D9
ENSG00000183023	-1.65063482397039	1.97202366270883	16.4080141147324	0.0011317152763528	1	Adults2	NEG_F	baseline_D9
ENSG00000244242	0.935376150264173	5.93787639419466	16.1548175216522	0.0012045182956474	1	Adults2	NEG_F	baseline_D9
ENSG00000245648	-1.0294883982583	1.97260644141196	15.9259346841038	0.00127496956561428	1	Adults2	NEG_F	baseline_D9
ENSG00000101400	0.77922236982003	5.13815954125184	15.9253677654091	0.00127514982167259	1	Adults2	NEG_F	baseline_D9
ENSG00000254415	-3.20501769739721	0.703029272195566	16.4665515715468	0.00128124694874231	1	Adults2	NEG_F	baseline_D9
ENSG00000165886	0.670571160661034	5.30084788980418	15.8757779691647	0.00129103064353478	1	Adults2	NEG_F	baseline_D9
ENSG00000106665	0.855237218044635	4.32310001800929	15.7287335779962	0.00133946695907419	1	Adults2	NEG_F	baseline_D9
ENSG00000279118	-1.49897776195107	-0.647795053556379	15.1407338821371	0.001555088115697	1	Adults2	NEG_F	baseline_D9
ENSG00000171227	0.822064039229008	4.71831097549546	15.0645951750905	0.00158581154398926	1	Adults2	NEG_F	baseline_D9
ENSG00000186480	-0.947541121546901	6.11521145488411	14.9871068908161	0.00161779473982047	1	Adults2	NEG_F	baseline_D9
ENSG00000148288	-1.16758227682924	1.07398302819281	14.665178758744	0.00175881732228651	1	Adults2	NEG_F	baseline_D9
ENSG00000160007	0.512048484754555	7.39840518496487	14.5197786721866	0.00182708688933044	1	Adults2	NEG_F	baseline_D9
ENSG00000106571	-0.760809228815077	3.88759777820826	13.8942097096621	0.00215760304212382	1	Adults2	NEG_F	baseline_D9
ENSG00000167106	0.651406616723744	8.00557595022226	13.871437155183	0.00217086772055472	1	Adults2	NEG_F	baseline_D9
ENSG00000135966	0.431302743697188	5.57415778753945	13.8073950936238	0.00220867463865039	1	Adults2	NEG_F	baseline_D9
ENSG00000148218	0.454593786457554	6.22619573209559	13.5470348792613	0.00237034142402623	1	Adults2	NEG_F	baseline_D9
ENSG00000088836	0.544564723956198	7.18109958652701	13.270111984652	0.00255735338399222	1	Adults2	NEG_F	baseline_D9
ENSG00000187672	-1.32219650318217	0.911376712987798	13.2487951864879	0.0025724361133279	1	Adults2	NEG_F	baseline_D9
ENSG00000171451	1.19617097341875	2.34832404872437	12.9833929891003	0.00276901528631889	1	Adults2	NEG_F	baseline_D9
ENSG00000107816	0.465339873444883	6.32351384017257	12.9424870048594	0.00280081955792107	1	Adults2	NEG_F	baseline_D9
ENSG00000214796	0.650100163805351	3.20307331236982	12.854180723278	0.00287091497811124	1	Adults2	NEG_F	baseline_D9
ENSG00000106351	0.657233971435116	6.45269992959171	12.8097124450181	0.00290697247967631	1	Adults2	NEG_F	baseline_D9
ENSG00000109501	0.657146737830517	4.89357745560794	12.7976650989018	0.00291683032331635	1	Adults2	NEG_F	baseline_D9
ENSG00000134909	0.383041704659702	7.65701572113465	12.7291201837689	0.00297365212733959	1	Adults2	NEG_F	baseline_D9
