gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	group
ENSG00000000003	10130.4927555773	-0.273041189631988	0.217195780883257	-1.25712013613537	0.208710136745685	0.521778760782844	Adults3_NEG_M
ENSG00000000419	1671.40977096278	-0.108630918945022	0.0928280762261969	-1.17023774876383	0.241905305606584	0.557169191495877	Adults3_NEG_M
ENSG00000000457	985.30873691143	0.255803711013513	0.0907910979875097	2.81749771380345	0.00483994592463751	0.0934894703535115	Adults3_NEG_M
ENSG00000000460	210.673793434344	-0.221398931580789	0.207587953048709	-1.06653073229562	0.286183793885596	0.5966539423568	Adults3_NEG_M
ENSG00000000938	1257.13657119038	0.568191970025778	0.573331148211576	0.991036282954748	0.321667863735542	0.624537638144064	Adults3_NEG_M
ENSG00000000971	9484.98735030085	0.556883701062624	0.16711250319326	3.33238800461632	0.000861041186210898	0.038323531826484	Adults3_NEG_M
ENSG00000001036	2848.77390795548	-0.0915000917362416	0.0925481623867458	-0.988675402909412	0.32282198102227	0.625095418438063	Adults3_NEG_M
ENSG00000001084	11246.6457716715	-0.371153405600826	0.241898384537024	-1.53433602424087	0.124947007626057	0.413730431153763	Adults3_NEG_M
ENSG00000001167	1233.70968489564	-0.0245094485395284	0.174318607125273	-0.140601447795615	0.888184804425728	0.956322028283355	Adults3_NEG_M
ENSG00000001460	1328.77337025128	-0.564101587286748	0.340136149309255	-1.65845820396427	0.0972250169955929	0.37054541363256	Adults3_NEG_M
ENSG00000001461	5160.35783155097	0.0223614430312893	0.0886919579948278	0.252124809699131	0.800944593896863	0.922578238764967	Adults3_NEG_M
ENSG00000001497	2455.82101511337	-0.158320216429497	0.0704357059439656	-2.24772669355295	0.0245936227887731	0.201365224494952	Adults3_NEG_M
ENSG00000001561	4727.80621595282	0.00625043001609443	0.185246333222746	0.0337411807691693	0.973083540149371	0.989524390363279	Adults3_NEG_M
ENSG00000001617	10683.0691082215	0.40249670838179	0.230225905497627	1.74826854307209	0.0804175376037059	0.343404750312676	Adults3_NEG_M
ENSG00000001626	616.137472565206	0.0164980886599958	0.225137787698306	0.0732799625894162	0.941583336361904	0.977207693601149	Adults3_NEG_M
ENSG00000001629	2916.93169260277	0.0589144227485635	0.0694022340949096	0.848883663716016	0.39594602990175	0.683207232515741	Adults3_NEG_M
ENSG00000001630	546.741172045162	-0.308730445782363	0.263106621290108	-1.1734043190116	0.240633706055612	0.555748643535687	Adults3_NEG_M
ENSG00000001631	1184.3237700238	-0.116586182284335	0.103425935962673	-1.12724319291063	0.259639673094824	0.573366927551027	Adults3_NEG_M
ENSG00000002016	247.282072251079	0.0101639069543139	0.223305427731202	0.0455157183485413	0.963696246452177	0.985662278102977	Adults3_NEG_M
ENSG00000002079	35.6749773702082	-0.916401503659496	0.279872262248792	-3.27435629489021	0.00105902989121379	0.0419910551214826	Adults3_NEG_M
ENSG00000002330	1848.05453481698	0.06773283545186	0.131276693260125	0.51595476523504	0.605886002935109	0.823475169610294	Adults3_NEG_M
ENSG00000002549	13973.3650501645	0.770764329187407	0.258330199027973	2.98364005481197	0.00284841640846452	0.0723911640219593	Adults3_NEG_M
ENSG00000002587	15664.7484442048	0.00834090989986849	0.204679397937115	0.0407510965145163	0.967494326272141	0.98758818371789	Adults3_NEG_M
ENSG00000002726	72.150229883291	-1.03101663496485	0.464828846235282	-2.21805648103642	0.0265509815860289	0.209692812074521	Adults3_NEG_M
ENSG00000002822	1768.57135021877	0.125974088297223	0.144482225984932	0.871900245434764	0.383262799794575	0.673741026385229	Adults3_NEG_M
ENSG00000002834	18597.2649073405	0.0643121793985618	0.0869416146615124	0.739716873777268	0.459471807249067	0.729704821404794	Adults3_NEG_M
ENSG00000002919	1426.13119009196	0.0149039914087212	0.0970331046514458	0.15359697561217	0.877927521753147	0.952366606360616	Adults3_NEG_M
ENSG00000002933	375.693323677606	0.665529572373837	0.436213046991976	1.5256984562089	0.127084979171602	0.416465839009594	Adults3_NEG_M
ENSG00000003056	4122.25410239266	0.0394621656596305	0.0954281703917121	0.413527425891608	0.679220232882163	0.863773549585382	Adults3_NEG_M
ENSG00000003096	133.655829105096	-1.54008058439652	0.470377409780306	-3.27413806950428	0.00105984812250576	0.0419910551214826	Adults3_NEG_M
ENSG00000003137	195.622548435007	-0.609394607001436	0.420728233931674	-1.44842812498388	0.147497353796476	0.44814378220077	Adults3_NEG_M
ENSG00000003147	1067.86420743736	0.421730578988971	0.152751884895951	2.76088625208283	0.00576447493914055	0.100827448420791	Adults3_NEG_M
ENSG00000003249	1191.2635168803	0.324304182304602	0.165253218910687	1.96246817122441	0.0497080027387616	0.278156573984176	Adults3_NEG_M
ENSG00000003393	1483.20716341339	-0.0167296226014593	0.105684297321068	-0.158298091821861	0.874221911691514	0.950713260408517	Adults3_NEG_M
ENSG00000003400	1168.09599463742	0.461550789576162	0.213203036186194	2.16484154181126	0.0303998222696859	0.223389355597848	Adults3_NEG_M
ENSG00000003402	9869.80441704058	0.0950305009978057	0.171568854322894	0.553891330526448	0.579653218637685	0.809162903707221	Adults3_NEG_M
ENSG00000003436	272.644554770539	-0.0949077743809386	0.219447501642313	-0.432485098580129	0.665388880264775	0.856631765969394	Adults3_NEG_M
ENSG00000003509	415.231444343228	-0.222024447656871	0.0946269699173664	-2.3463125560372	0.0189602003345682	0.177755614382044	Adults3_NEG_M
ENSG00000003756	2525.79229878037	0.154865854487559	0.105811998060547	1.46359446306781	0.143304786320171	0.441038587672619	Adults3_NEG_M
