gene_id	logFC	logCPM	F	PValue	FDR	dataset_name	group_name	comparison_name
ENSG00000264539	-3.25996671003631	-2.21324673344563	18.335637351523	0.000716410432647399	1	Adults2	POS_F	baseline_D9
ENSG00000205622	0.97608454920435	1.02596026817137	18.0811768963405	0.000759703100189228	1	Adults2	POS_F	baseline_D9
ENSG00000105856	0.469451940660449	6.14300831003949	15.1023404237651	0.00157049465534928	1	Adults2	POS_F	baseline_D9
ENSG00000147465	1.2140637982416	-0.323797103405889	14.0761753093938	0.00205488066277954	1	Adults2	POS_F	baseline_D9
ENSG00000004799	1.09913680320785	3.78087277732775	13.9013900304349	0.00215343987083921	1	Adults2	POS_F	baseline_D9
ENSG00000163297	0.543984512426812	4.57861382114168	13.7464453629404	0.00224535768996981	1	Adults2	POS_F	baseline_D9
ENSG00000023287	0.371186471227962	6.60400558521275	13.2807320014001	0.00254987699479052	1	Adults2	POS_F	baseline_D9
ENSG00000110422	0.404151333690132	7.04129864552264	12.321534670382	0.00333892926749706	1	Adults2	POS_F	baseline_D9
ENSG00000163638	1.32898994000034	1.21549312896896	12.1193863153869	0.00353901646481309	1	Adults2	POS_F	baseline_D9
ENSG00000145555	0.470086843741857	5.80636583572083	11.0927964505699	0.00479384901751791	1	Adults2	POS_F	baseline_D9
ENSG00000165434	0.564493398366218	6.49111025793503	10.7854178193445	0.00526409211000798	1	Adults2	POS_F	baseline_D9
ENSG00000242028	-0.591924655744304	1.32784461301368	10.75152925425	0.00531910555049739	1	Adults2	POS_F	baseline_D9
ENSG00000186766	0.992337213904542	0.537397755250296	10.5460359682667	0.00566718710994479	1	Adults2	POS_F	baseline_D9
ENSG00000230943	1.34076753893527	0.227455960538092	10.5089355594492	0.00573278220092243	1	Adults2	POS_F	baseline_D9
ENSG00000119801	0.444532220499513	7.39100288069167	10.4482660900267	0.00584193668238693	1	Adults2	POS_F	baseline_D9
ENSG00000166046	0.594926261322224	4.06572005344804	10.438049199068	0.00586055250587308	1	Adults2	POS_F	baseline_D9
ENSG00000130449	0.377329606247346	4.95351970561834	10.4114202102801	0.00590939333556533	1	Adults2	POS_F	baseline_D9
ENSG00000133124	3.24266573253926	-2.2156584903204	10.5708252361615	0.00610279695500943	1	Adults2	POS_F	baseline_D9
ENSG00000151151	0.431330888655917	5.16703518763128	10.2274728111949	0.006259840309864	1	Adults2	POS_F	baseline_D9
ENSG00000096717	0.509098683641003	4.18046375377346	10.129087500052	0.00645705123595142	1	Adults2	POS_F	baseline_D9
ENSG00000259495	-3.34880680941025	-2.03787644653765	10.1112953269766	0.00701537057678837	1	Adults2	POS_F	baseline_D9
ENSG00000164938	0.467801996215554	6.56104833423213	9.73657013011916	0.00731826471805878	1	Adults2	POS_F	baseline_D9
ENSG00000186591	0.314507288554666	7.80887802258248	9.60858247909113	0.00762711861980262	1	Adults2	POS_F	baseline_D9
ENSG00000049883	-0.469274499081877	3.30888210914432	9.54364499561477	0.00778954067022914	1	Adults2	POS_F	baseline_D9
ENSG00000107643	0.277656440858051	5.17125321362081	9.41556522602751	0.00812170116045324	1	Adults2	POS_F	baseline_D9
ENSG00000164023	0.303158492897091	6.87934307693348	9.40617542825326	0.00814668693505911	1	Adults2	POS_F	baseline_D9
ENSG00000172738	0.848309982861722	1.244474808408	9.3145283317149	0.00839525680350132	1	Adults2	POS_F	baseline_D9
ENSG00000172594	0.405724258717839	4.62109027497163	9.27728814840048	0.00849874727616834	1	Adults2	POS_F	baseline_D9
ENSG00000213866	-0.994165123764981	-1.00442622804263	9.18986427497948	0.00874752030464949	1	Adults2	POS_F	baseline_D9
ENSG00000178814	-0.413820870576074	4.28093796267468	9.12695950366819	0.00893171185879139	1	Adults2	POS_F	baseline_D9
ENSG00000058085	0.603032890248646	6.91230349405059	9.04169427090195	0.00918855095790183	1	Adults2	POS_F	baseline_D9
ENSG00000232803	1.7371370524199	-0.937041086179902	9.00559359914611	0.00929984993302919	1	Adults2	POS_F	baseline_D9
ENSG00000248830	-2.43984309611986	-2.11389273959123	9.00178897031989	0.00931166983134324	1	Adults2	POS_F	baseline_D9
ENSG00000217128	0.521343020052318	4.90100386495606	8.96968806035926	0.00941208992694542	1	Adults2	POS_F	baseline_D9
ENSG00000270015	-0.459899470392014	2.32620785337968	8.968025662015	0.00941732421567016	1	Adults2	POS_F	baseline_D9
ENSG00000277182	-1.14874820751004	-1.39498665561368	8.9313833905537	0.0095335531245493	1	Adults2	POS_F	baseline_D9
ENSG00000255857	-0.733944351899816	0.666500107511193	8.91835917541895	0.0095752631414648	1	Adults2	POS_F	baseline_D9
ENSG00000248323	1.59124240630734	0.655208012310849	8.78009375678244	0.0100312669477087	1	Adults2	POS_F	baseline_D9
ENSG00000040633	0.433365153301103	5.18246647638937	8.71018886429741	0.0102713092262786	1	Adults2	POS_F	baseline_D9
ENSG00000211767	-1.66448799019649	-1.83692312850194	8.63988298660782	0.0105194287567387	1	Adults2	POS_F	baseline_D9
ENSG00000121749	0.335991083770929	5.94456436538239	8.56668447351871	0.0107851264647951	1	Adults2	POS_F	baseline_D9
ENSG00000165105	0.387969097146558	6.10869071456579	8.55410174880786	0.0108315745666628	1	Adults2	POS_F	baseline_D9
ENSG00000107362	0.327332078847796	5.31353343921419	8.47961427144367	0.0111113088182554	1	Adults2	POS_F	baseline_D9
ENSG00000145868	0.259907213562048	5.34576633318455	8.47616567738284	0.0111244602132201	1	Adults2	POS_F	baseline_D9
ENSG00000269113	-1.43767201618927	-0.855357520075191	8.35345093075855	0.0116043346020802	1	Adults2	POS_F	baseline_D9
