gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	group
ENSG00000227232	36.921385988755	0.12118120811382	0.265565837012701	0.45631324223388	0.648164742829753		Elderly1_POS_M
ENSG00000268903	124.64599873207	-0.443075284544813	0.561889208474037	-0.788545638290696	0.430377614379621		Elderly1_POS_M
ENSG00000269981	90.4193512592167	-0.409606862233645	0.601915474400942	-0.680505618569296	0.496184365445553		Elderly1_POS_M
ENSG00000279457	105.140606039725	-0.0554641271989007	0.215409020813121	-0.257482843520368	0.796806057834442		Elderly1_POS_M
ENSG00000228463	21.9984076951141	-0.188157272671437	0.432661654436164	-0.434883171971041	0.663647229899653		Elderly1_POS_M
ENSG00000225972	65.6541655842447	0.184417203857758	0.30268299556901	0.609275071799375	0.542342127440596		Elderly1_POS_M
ENSG00000225630	4194.09700087372	0.00220760300234784	0.249854056334188	0.00883556999128762	0.992950326842999	0.99797348731997	Elderly1_POS_M
ENSG00000237973	1542.62619466046	-0.201816276723898	0.169969115511418	-1.18737028263432	0.235081596511961	0.633134325032056	Elderly1_POS_M
ENSG00000229344	274.460722234136	-0.118303449584976	0.275629807925677	-0.429211377663756	0.667769403748074		Elderly1_POS_M
ENSG00000248527	18770.0523157643	-0.132014231070314	0.231318352878795	-0.570703661976561	0.56820053606119	0.826472325204481	Elderly1_POS_M
ENSG00000198744	180.833488541985	-0.110171670896418	0.270505734728892	-0.407280352140538	0.683802091709927		Elderly1_POS_M
ENSG00000228327	117.234857207703	-0.117488145682198	0.355458102713107	-0.330526002320515	0.741002548564597		Elderly1_POS_M
ENSG00000237491	24.2994546626916	0.031139346664085	0.372161360482301	0.0836716273385559	0.933317516123027		Elderly1_POS_M
ENSG00000228794	169.701346266455	0.12563921656934	0.128211711607702	0.979935569020141	0.327117924014116		Elderly1_POS_M
ENSG00000188976	1199.41611573344	-0.155295500442414	0.141305994401398	-1.09900150450289	0.271767409660383	0.656242232135779	Elderly1_POS_M
ENSG00000187961	190.748903293179	0.263717444228658	0.263058946166046	1.0025032338653	0.31610060546934		Elderly1_POS_M
ENSG00000187583	215.595535772285	-0.615933949388804	0.509563265246005	-1.20874872934855	0.226759394381019		Elderly1_POS_M
ENSG00000187642	91.3728540826419	-0.731682330509478	0.533258526848447	-1.37209682296824	0.17003329837752		Elderly1_POS_M
ENSG00000272512	72.7561655259985	0.501300588511033	0.411209235387462	1.21908883694862	0.222810476345418		Elderly1_POS_M
ENSG00000188290	404.201072009173	-0.236818883871	0.287311054161963	-0.824259562729881	0.40979208982816	0.748144314680339	Elderly1_POS_M
ENSG00000187608	358.198434464406	-0.509858425479809	0.450414316704981	-1.13197650822845	0.257644310935012		Elderly1_POS_M
ENSG00000188157	6123.07425758929	0.0497807764202159	0.197432381210866	0.252140890541395	0.800932164656353	0.925969526669401	Elderly1_POS_M
ENSG00000217801	128.238033988414	-0.164168723796365	0.321873349036438	-0.510041369649963	0.610022479195989		Elderly1_POS_M
ENSG00000237330	240.24317217024	-1.00984435981756	0.471690238294098	-2.14090578484248	0.0322816365545377		Elderly1_POS_M
ENSG00000131591	404.582858479555	0.194234760646979	0.202976802187331	0.956930834232557	0.33860216675097	0.704844034409058	Elderly1_POS_M
ENSG00000207730	50.9480475609955	0.48412711581569	0.339457122325519	1.42618046279036	0.153816257599115		Elderly1_POS_M
ENSG00000207607	30.7378299900517	0.33203895778653	0.333420854890557	0.995855396914269	0.319320409582922		Elderly1_POS_M
ENSG00000198976	77.4583655048982	0.164539582697273	0.356503268991083	0.461537374293722	0.644413113620157		Elderly1_POS_M
ENSG00000272141	420.943430844385	0.171159930040906	0.288451951769863	0.593374144257702	0.552930788562679	0.820851965355094	Elderly1_POS_M
ENSG00000205231	114.615099063607	0.180072690364347	0.944872596023912	0.190578805144847	0.84885559687061		Elderly1_POS_M
ENSG00000162571	539.643459273338	0.491714294475825	0.797823783329782	0.616319423850233	0.53768372162053	0.814738153795909	Elderly1_POS_M
ENSG00000186891	249.673776866302	-0.46654246923816	0.49128181978856	-0.949643260642035	0.342293549061663		Elderly1_POS_M
ENSG00000078808	2777.50986529439	-0.16204880837843	0.129269867685571	-1.25356984794468	0.209998396404671	0.610190581675143	Elderly1_POS_M
ENSG00000176022	349.895528238187	-0.00880140604069408	0.114089336598472	-0.0771448612386092	0.938508305203544		Elderly1_POS_M
ENSG00000160087	1067.73343329308	-0.244973690739621	0.15878092232497	-1.54284083473356	0.122869398998424	0.507560232675061	Elderly1_POS_M
ENSG00000162572	93.8652154045075	-0.543880397923064	0.347357171902094	-1.5657670027218	0.117403173818436		Elderly1_POS_M
ENSG00000131584	1361.52053066338	-0.159399442829713	0.214571190888875	-0.742874391335529	0.457557731269791	0.771141388486452	Elderly1_POS_M
ENSG00000169972	284.663897893361	-0.224638094708679	0.205506192020265	-1.09309647802012	0.274351442200264		Elderly1_POS_M
ENSG00000127054	1343.14170766391	-0.0745097860459933	0.104639222981793	-0.712063640409085	0.476425368266219	0.785487838716932	Elderly1_POS_M
ENSG00000240731	57.6552445755808	0.00480149297659969	0.246830596580397	0.0194525842546257	0.984480062160284		Elderly1_POS_M
ENSG00000224051	726.874519893293	-0.278579339732242	0.18205943416244	-1.53015602302533	0.125978113847611	0.512058882505239	Elderly1_POS_M
ENSG00000169962	29.7067837566675	0.618872013439858	0.354295964805093	1.74676562794136	0.0806780011151526		Elderly1_POS_M
ENSG00000107404	1510.31576182376	-0.217532988483755	0.157061288381596	-1.38501976346481	0.166046424262768	0.561610955363061	Elderly1_POS_M
