gene_id	logFC	logCPM	LR	PValue	FDR	dataset_name	group_name	comparison_name
ENSG00000072274	-0.876514897812135	6.7386865046999	24.5457058085052	7.25678844270506e-07	0.0144119818472123	Adults1	NEG_M	baseline_D2
ENSG00000240891	-1.13398670006262	1.53736162983405	21.6133623375335	3.33520157173288e-06	0.0230327000237761	Adults1	NEG_M	baseline_D2
ENSG00000200795	-1.53096271977648	0.735159441525326	21.3515449639478	3.82312535437459e-06	0.0230327000237761	Adults1	NEG_M	baseline_D2
ENSG00000180611	1.40040034515901	0.885196897191394	20.5743797470353	5.73586263819835e-06	0.0230327000237761	Adults1	NEG_M	baseline_D2
ENSG00000253666	2.42830140622821	0.673478522951849	20.5535002435029	5.79876637053779e-06	0.0230327000237761	Adults1	NEG_M	baseline_D2
ENSG00000170289	1.4211139201907	-0.366669556955903	19.753164398135	8.8115678796845e-06	0.0291662896817557	Adults1	NEG_M	baseline_D2
ENSG00000185745	1.47389664429809	4.10214748114935	18.7293550353856	1.50645451981662e-05	0.040289442477358	Adults1	NEG_M	baseline_D2
ENSG00000163584	-0.961259773526072	4.04276988191378	18.587351211942	1.62293826696306e-05	0.040289442477358	Adults1	NEG_M	baseline_D2
ENSG00000090382	-0.946318928639862	7.2725395823857	17.9590607313767	2.25707433313517e-05	0.0496566988071207	Adults1	NEG_M	baseline_D2
ENSG00000210195	1.57136758994324	-0.0950360044485543	17.661754171576	2.63879463701775e-05	0.0496566988071207	Adults1	NEG_M	baseline_D2
ENSG00000256897	-1.32515813461859	-0.271979582326479	17.4953391660583	2.88012885524644e-05	0.0496566988071207	Adults1	NEG_M	baseline_D2
ENSG00000248771	-0.799756258063639	4.81370434403635	17.3195421815814	3.15921196684916e-05	0.0496566988071207	Adults1	NEG_M	baseline_D2
ENSG00000255717	-0.784108954847154	5.23490248754649	17.265448977517	3.25043849190619e-05	0.0496566988071207	Adults1	NEG_M	baseline_D2
ENSG00000138646	1.53454916377854	1.68719534705548	16.3961362154854	5.13898777653766e-05	0.0729002123157414	Adults1	NEG_M	baseline_D2
ENSG00000269893	-0.87467959348821	4.70318093387752	16.2120267948802	5.66334283779333e-05	0.0749826591723837	Adults1	NEG_M	baseline_D2
ENSG00000173166	0.855911421690841	5.41349741128864	15.9908069896876	6.36508116272724e-05	0.0770281151445082	Adults1	NEG_M	baseline_D2
ENSG00000198670	1.47892578522933	0.736702119661735	15.9240530211979	6.59354459947956e-05	0.0770281151445082	Adults1	NEG_M	baseline_D2
ENSG00000106541	-1.26078084302806	10.6005821485386	15.802908456857	7.02943693572133e-05	0.0775581208574587	Adults1	NEG_M	baseline_D2
ENSG00000189419	1.18339911765615	0.104513464166634	15.6964323273523	7.43643049389959e-05	0.077730268215182	Adults1	NEG_M	baseline_D2
ENSG00000197085	1.56156747243347	0.0198096778377528	15.3843070969873	8.77137334946416e-05	0.0862760684240371	Adults1	NEG_M	baseline_D2
ENSG00000107882	0.799941960313665	4.02730250248777	15.310078809845	9.12284711432416e-05	0.0862760684240371	Adults1	NEG_M	baseline_D2
ENSG00000255468	-0.821275856372918	1.25586479350265	14.9178398307393	0.000112296024383457	0.0980469887491884	Adults1	NEG_M	baseline_D2
ENSG00000177707	-1.22528341874433	1.55258434365939	14.8969091078237	0.000113548879216079	0.0980469887491884	Adults1	NEG_M	baseline_D2
ENSG00000186564	1.31237875462797	1.41893281258542	14.808967762044	0.000118968420814424	0.0984463682239355	Adults1	NEG_M	baseline_D2
ENSG00000112977	0.865424872447939	5.96100996369954	14.6159398805871	0.000131795051547405	0.103261803725304	Adults1	NEG_M	baseline_D2
ENSG00000183196	-0.908203047053817	7.9153202382756	14.5321553051764	0.000137787528689302	0.103261803725304	Adults1	NEG_M	baseline_D2
ENSG00000151612	0.643228702858493	5.26112402563317	14.4969569665663	0.000140386137995127	0.103261803725304	Adults1	NEG_M	baseline_D2
ENSG00000128050	-0.741204330995843	5.23269377496289	14.3282183414733	0.000153545913480094	0.108907922918381	Adults1	NEG_M	baseline_D2
ENSG00000144711	0.637822542261691	6.61748356347382	14.2435288697392	0.000160612106812357	0.109991601423911	Adults1	NEG_M	baseline_D2
ENSG00000168016	0.87786414017926	6.06398442911325	14.1759516659855	0.000166484771345109	0.110212918630462	Adults1	NEG_M	baseline_D2
ENSG00000147889	1.35718695169376	3.81707498316497	13.9793809609229	0.000184826463300017	0.117501630902989	Adults1	NEG_M	baseline_D2
ENSG00000228437	1.51570743989682	0.851788924261561	13.8613531785686	0.000196804143552585	0.117501630902989	Adults1	NEG_M	baseline_D2
ENSG00000101825	1.21366019479972	5.89743384080095	13.8537964930528	0.000197597126696807	0.117501630902989	Adults1	NEG_M	baseline_D2
ENSG00000101194	-1.79142144555714	3.21738038941166	13.7623685762342	0.000207450366782831	0.117501630902989	Adults1	NEG_M	baseline_D2
ENSG00000122194	1.40000711561174	0.171906398070702	13.7413568956797	0.000209783896625432	0.117501630902989	Adults1	NEG_M	baseline_D2
ENSG00000126457	-0.637088120981969	5.99227690080789	13.7128348603203	0.000212993892875508	0.117501630902989	Adults1	NEG_M	baseline_D2
ENSG00000168394	0.795460172332945	6.71042121277065	13.5505782751483	0.000232219864755479	0.12152800395937	Adults1	NEG_M	baseline_D2
ENSG00000173540	-0.797419878218416	5.58649478382102	13.5480658699181	0.000232530923990738	0.12152800395937	Adults1	NEG_M	baseline_D2
ENSG00000101361	-0.756390920557565	5.71500379163173	13.3592579827917	0.000257150029915668	0.130370283378316	Adults1	NEG_M	baseline_D2
