gene_id	logFC	logCPM	LR	PValue	FDR	dataset_name	group_name	comparison_name
ENSG00000162576	1.05131259816233	5.5308213876001	27.2312946505661	1.80513080543936e-07	0.00322053386998436	Adults3	POS_M	baseline_D2
ENSG00000103168	0.836785762532937	6.49963654818463	23.2477188082887	1.42419276238997e-06	0.0117502523374179	Adults3	POS_M	baseline_D2
ENSG00000178773	0.943217896798258	3.42567804122714	22.6184039316708	1.9758285416879e-06	0.0117502523374179	Adults3	POS_M	baseline_D2
ENSG00000277311	1.06763703627313	0.461198950271551	20.8195397187137	5.04654611415347e-06	0.022508857305653	Adults3	POS_M	baseline_D2
ENSG00000282870	1.05623289905053	-0.641529593202621	19.3481163076608	1.08926643357642e-05	0.0388672048828738	Adults3	POS_M	baseline_D2
ENSG00000131591	0.605596054499589	5.20271015960745	18.5107314767181	1.68950335036576e-05	0.0464015559172114	Adults3	POS_M	baseline_D2
ENSG00000227232	0.767432694222683	2.08261127431729	18.0486035037932	2.15336537028523e-05	0.0464015559172114	Adults3	POS_M	baseline_D2
ENSG00000143434	0.870464280278271	3.54191756131156	17.9603804583586	2.25550995907073e-05	0.0464015559172114	Adults3	POS_M	baseline_D2
ENSG00000250571	0.64987029587113	3.83998757201154	17.8133815397173	2.43663547522349e-05	0.0464015559172114	Adults3	POS_M	baseline_D2
ENSG00000104936	0.603723904183954	5.04884906807257	17.6893123199292	2.60083828917725e-05	0.0464015559172114	Adults3	POS_M	baseline_D2
ENSG00000198976	1.34602252162473	2.83526691371916	17.2012940460243	3.36207259271079e-05	0.0545297610241393	Adults3	POS_M	baseline_D2
ENSG00000228526	1.00583170694854	4.08376799648037	16.7332373950549	4.30206707162588e-05	0.0639609821873977	Adults3	POS_M	baseline_D2
ENSG00000184925	1.30825747930705	0.0621727481082298	16.4502412210091	4.99438266158899e-05	0.064031664280039	Adults3	POS_M	baseline_D2
ENSG00000185522	1.09448105214535	5.26006950100652	16.2292481554667	5.61209466151071e-05	0.064031664280039	Adults3	POS_M	baseline_D2
ENSG00000272141	1.18575594211647	5.47351302788734	16.2199330617328	5.63975680188093e-05	0.064031664280039	Adults3	POS_M	baseline_D2
ENSG00000167280	0.517399736046851	5.58386974083105	16.0888107194722	6.04400932640644e-05	0.064031664280039	Adults3	POS_M	baseline_D2
ENSG00000128159	0.542537158139533	6.66841423005539	16.0709359137055	6.10133004181752e-05	0.064031664280039	Adults3	POS_M	baseline_D2
ENSG00000104859	0.80470469542885	6.82119406360158	15.0562397492491	0.00010435469883946	0.0985965729428363	Adults3	POS_M	baseline_D2
ENSG00000225138	0.918599315720733	5.85645048301194	15.0445741766707	0.000105001675125491	0.0985965729428363	Adults3	POS_M	baseline_D2
ENSG00000214193	0.81055744538635	5.0190379521486	14.7983898318191	0.000119637609380504	0.102058766955094	Adults3	POS_M	baseline_D2
ENSG00000100429	0.921950740025001	1.79094667158732	14.7906491257522	0.000120129707194494	0.102058766955094	Adults3	POS_M	baseline_D2
ENSG00000177595	0.669201498753806	5.25965019902813	14.6174469480905	0.000131689699357535	0.102370482797101	Adults3	POS_M	baseline_D2
ENSG00000262877	1.11579756761819	1.48440708949907	14.60196817943	0.000132775798004782	0.102370482797101	Adults3	POS_M	baseline_D2
ENSG00000279457	0.581243716817637	2.78909282217327	14.5332099425529	0.000137710419098169	0.102370482797101	Adults3	POS_M	baseline_D2
ENSG00000182979	0.550992413933514	6.76024878125803	14.2870944875932	0.000156937167638496	0.111996640313537	Adults3	POS_M	baseline_D2
ENSG00000205903	0.600522018008358	7.3027182259716	14.2080290414774	0.000163670661332464	0.112021465404194	Adults3	POS_M	baseline_D2
ENSG00000215375	0.658511539770113	4.00373047910936	14.1418524974607	0.000169529710549478	0.112021465404194	Adults3	POS_M	baseline_D2
ENSG00000169592	0.385205013101493	5.2738771488249	14.0622906704063	0.000176854253827831	0.112687740805083	Adults3	POS_M	baseline_D2
ENSG00000185189	0.648267704458706	4.9724916713501	13.8841037811633	0.000194436043602153	0.118174006156639	Adults3	POS_M	baseline_D2
ENSG00000207607	1.35625421151739	1.22308253027943	13.8269302368681	0.000200442573962047	0.118174006156639	Adults3	POS_M	baseline_D2
ENSG00000207730	1.49297229649385	2.93029853232797	13.7816162768653	0.00020533569815906	0.118174006156639	Adults3	POS_M	baseline_D2
ENSG00000164877	0.564212919083008	6.5544829185148	13.52117561179	0.000235886601742504	0.13151415192775	Adults3	POS_M	baseline_D2
ENSG00000127415	0.653237672398126	5.83472066166744	13.4167888175942	0.000249382237203238	0.134825105877059	Adults3	POS_M	baseline_D2
ENSG00000138834	0.632152171606718	7.89775028265633	13.3399790474802	0.000259807251782061	0.136330034677757	Adults3	POS_M	baseline_D2
ENSG00000183648	-0.358307814494239	4.75430723571298	13.1774763195597	0.00028333406882666	0.14353223471974	Adults3	POS_M	baseline_D2
ENSG00000178464	0.619112929763509	1.70502838693021	13.1363416769846	0.000289622804210001	0.14353223471974	Adults3	POS_M	baseline_D2
ENSG00000167702	0.694468560165977	5.51157180052057	13.0769276733099	0.000298955399104958	0.14415306149815	Adults3	POS_M	baseline_D2
ENSG00000171680	0.491175401048205	5.70209806583476	12.9302749664661	0.000323310288291842	0.15179418035302	Adults3	POS_M	baseline_D2
ENSG00000198569	1.04122651445625	2.22719987338167	12.8103526033381	0.000344706598870939	0.157690011037344	Adults3	POS_M	baseline_D2
ENSG00000182685	0.824419156615101	1.01897021254303	12.6739515274517	0.000370785076517776	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000157873	0.474049185350672	7.05832608422995	12.5726725790063	0.000391428410272896	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000279716	0.847674453292315	1.97099223983627	12.5702090728474	0.000391944728590186	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000160781	0.78109265787124	2.84525172710194	12.4446236726877	0.000419196741307881	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000180089	0.751513245570342	1.00584549808111	12.4096658625081	0.000427117283890827	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000246922	0.575388580128045	1.90410497773229	12.3972035782429	0.000429977283265822	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000061938	0.553010428170918	6.35412805452707	12.3360473120795	0.000444294770906872	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000185101	0.601389232458537	5.36433422943266	12.330453487061	0.000445628135871314	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000213983	0.34606319569909	5.9868860007482	12.320855635756	0.000447925330006202	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000279569	0.897645568731657	-0.685612831950148	12.3093936108987	0.000450684366055364	0.164095097444771	Adults3	POS_M	baseline_D2
ENSG00000132793	0.65497476058929	4.8290832709409	12.2215952166565	0.000472395229327937	0.168560065728795	Adults3	POS_M	baseline_D2
ENSG00000111676	0.386703897410065	7.1906326787579	12.1630678552776	0.000487451340964115	0.168821553008207	Adults3	POS_M	baseline_D2
ENSG00000124172	-0.301407585813773	6.34505551446571	12.1455428359085	0.000492053178433201	0.168821553008207	Adults3	POS_M	baseline_D2
ENSG00000203896	0.863028342524006	1.14923349733146	12.095575601939	0.000505416100695407	0.170134502877486	Adults3	POS_M	baseline_D2
ENSG00000163463	0.611916010078082	0.701411925650457	12.0529112502728	0.000517115575703723	0.170849240483891	Adults3	POS_M	baseline_D2
ENSG00000249863	-0.86655511950274	-0.842359378305912	11.9491526340581	0.000546722398175337	0.17734680556084	Adults3	POS_M	baseline_D2
ENSG00000274012	-1.38045355198228	1.96096392726065	11.8859745051663	0.000565582260032358	0.18018844823638	Adults3	POS_M	baseline_D2
ENSG00000180104	0.317673116774092	6.38468214240953	11.8170684379472	0.000586901948279963	0.183700309811628	Adults3	POS_M	baseline_D2
ENSG00000167615	0.643890970557925	7.46272640177947	11.6990849435556	0.000625308411255348	0.192347023538046	Adults3	POS_M	baseline_D2
ENSG00000164855	0.592533554448944	7.28166480740424	11.6313913431061	0.000648480294868725	0.19321767202535	Adults3	POS_M	baseline_D2
ENSG00000119705	-0.345463011400675	4.86100750732375	11.5620740149241	0.000673107295543632	0.19321767202535	Adults3	POS_M	baseline_D2
ENSG00000005206	0.865387491406481	7.10720258384777	11.5595298905333	0.000674028928963437	0.19321767202535	Adults3	POS_M	baseline_D2
ENSG00000131584	0.568820272871427	7.33209339687737	11.5588679006997	0.000674268950035952	0.19321767202535	Adults3	POS_M	baseline_D2
ENSG00000187961	0.582116100141347	4.39487405686646	11.5368847146994	0.000682288735922708	0.19321767202535	Adults3	POS_M	baseline_D2
ENSG00000207611	0.994428557253198	0.249080903886331	11.4090250939222	0.000730881752857005	0.201277978664451	Adults3	POS_M	baseline_D2
ENSG00000185324	0.486041935043109	6.04833209390299	11.3791519941294	0.000742730174724825	0.201277978664451	Adults3	POS_M	baseline_D2
ENSG00000099904	0.570513188740815	5.92809466879211	11.3526183554032	0.000753416747756212	0.201277978664451	Adults3	POS_M	baseline_D2
ENSG00000279392	1.00595363850729	-0.711755886304574	11.3465604969679	0.000755878289923111	0.201277978664451	Adults3	POS_M	baseline_D2
ENSG00000146830	0.51840443494858	6.64791328111519	11.2773543121884	0.000784582907074978	0.205849171251834	Adults3	POS_M	baseline_D2
ENSG00000235316	0.609229477866918	1.49680874522158	11.2360841624581	0.000802222311815222	0.207426786450658	Adults3	POS_M	baseline_D2
ENSG00000166987	0.483754668705211	6.29135830052197	10.9886422190573	0.000916719464238677	0.229620256538821	Adults3	POS_M	baseline_D2
ENSG00000146067	0.563341582779278	5.94938892440893	10.9821943421824	0.000919914424489889	0.229620256538821	Adults3	POS_M	baseline_D2
ENSG00000105366	-1.44575283899268	-0.760631796293263	10.9650456269891	0.000928466607744084	0.229620256538821	Adults3	POS_M	baseline_D2
ENSG00000162572	0.806279641498964	3.21593504203886	10.9217939933773	0.00095039530614132	0.229620256538821	Adults3	POS_M	baseline_D2
ENSG00000277105	-1.71662921034103	4.58905802097462	10.9178762068032	0.000952407319313535	0.229620256538821	Adults3	POS_M	baseline_D2
ENSG00000185359	0.405326523800125	7.47544358005243	10.8750773333861	0.000974669592342468	0.231854402626426	Adults3	POS_M	baseline_D2
ENSG00000168397	0.308881438204348	6.21253343710203	10.7966376388129	0.00101684618039862	0.238704640848575	Adults3	POS_M	baseline_D2
ENSG00000134256	-0.82439352798294	1.43195832606002	10.7652243959036	0.0010342502450149	0.239637124952088	Adults3	POS_M	baseline_D2
ENSG00000099866	0.86736546243291	0.937202135606131	10.6573352520778	0.00109635232342749	0.250769510285512	Adults3	POS_M	baseline_D2
ENSG00000164050	0.406115424781258	7.96310925359653	10.5876762295694	0.00113843979237457	0.257100054882971	Adults3	POS_M	baseline_D2
ENSG00000102901	0.397595783017581	5.14619912037998	10.4981176344729	0.0011949621832509	0.263267030993956	Adults3	POS_M	baseline_D2
ENSG00000103197	0.384203725707781	7.40917748837551	10.484068378065	0.00120408317835437	0.263267030993956	Adults3	POS_M	baseline_D2
ENSG00000202198	-1.87485034082759	1.33680506248321	10.4749875246034	0.00121001606084325	0.263267030993956	Adults3	POS_M	baseline_D2
ENSG00000103269	0.70343652445625	2.23811504374194	10.4513245550102	0.00122561537776408	0.263448240417939	Adults3	POS_M	baseline_D2
ENSG00000168970	0.717352794520729	2.50653633731082	10.3840986664556	0.00127105221079011	0.269962410627457	Adults3	POS_M	baseline_D2
ENSG00000141258	0.426834405059754	7.12795364609517	10.3608327739441	0.00128717126126662	0.270169676144208	Adults3	POS_M	baseline_D2
ENSG00000148341	0.399224378645189	8.19478530029561	10.3130594476292	0.00132092117796263	0.274029706232921	Adults3	POS_M	baseline_D2
ENSG00000197774	0.626072256353001	5.3623814905176	10.2175444182726	0.0013911094273161	0.284607328911701	Adults3	POS_M	baseline_D2
ENSG00000212694	0.586712105935583	3.04745022796153	10.1969782377985	0.00140670972192074	0.284607328911701	Adults3	POS_M	baseline_D2
ENSG00000174886	0.475902608525536	4.26361623456347	10.1799420984467	0.00141976639611801	0.284607328911701	Adults3	POS_M	baseline_D2
ENSG00000105409	-1.08391545501708	0.190705135647409	10.1170925749485	0.00146900549863755	0.288823621842699	Adults3	POS_M	baseline_D2
ENSG00000255182	0.751526640126569	1.75585460404716	10.1118664732423	0.00147317692885408	0.288823621842699	Adults3	POS_M	baseline_D2
ENSG00000166169	0.362175597685131	5.04950696008905	10.0900700129516	0.00149070442122063	0.289083234554317	Adults3	POS_M	baseline_D2
ENSG00000100083	0.349285781256297	6.43416586996127	10.014234335024	0.00155334978960973	0.297992619316422	Adults3	POS_M	baseline_D2
ENSG00000215788	0.58834881292183	4.0707953082009	9.97882925748713	0.00158350335123441	0.300545566908226	Adults3	POS_M	baseline_D2
ENSG00000122678	0.372297432951807	4.46886186870003	9.92044203922412	0.00163453120730656	0.306964960732173	Adults3	POS_M	baseline_D2
ENSG00000106976	0.812045939736705	2.53393584345895	9.84307332814786	0.00170472444950169	0.316812384412079	Adults3	POS_M	baseline_D2
ENSG00000236409	0.932946430300226	-1.17682016547416	9.74470197412104	0.00179840287005008	0.329986053382986	Adults3	POS_M	baseline_D2
ENSG00000182087	0.3311076778944	8.62771742304523	9.73024621451349	0.00181260205322194	0.329986053382986	Adults3	POS_M	baseline_D2
ENSG00000160072	0.496203176947504	5.35462142027805	9.68797949250378	0.00185477381982804	0.331161948832518	Adults3	POS_M	baseline_D2
