	X0100.015.007	X0285.015.009	X1000.015.002	X1005.015.008	X1009.015.013	X1011.015.015	X1013.015.017	X1015.015.019	X1016.015.020	X1017.015.021	X1018.015.022	X1019.015.023	X1051.016.036	X1058.016.043	X1084.016.071	X1089.016.076	X1092.016.079	X1106.016.093	X1150.016.137	X1155.016.142	X1158.016.145	X1161.016.148	X1163.016.150	X1184.016.171	X1190.016.177	X1195.016.182	X1204.016.191	X1435.019.073	X1480.019.118	X1484.019.122	X1486.019.124	X1500.019.138	X1503.019.141	X1504.019.142	X1526.019.164	X1535.019.173	X1537.019.175	X1541.019.179	X1542.019.180	X1543.019.181	X1544.019.182	X1545.019.183	X1547.019.185	X1551.019.189	X1553.019.191	X1554.019.192	X1555.019.193	X1556.019.194	X1557.019.195	X1558.019.196	X1559.019.197	X1563.019.201	X1564.019.202	X1565.019.203	X1566.019.204	X1567.019.205	X1568.019.206	X1569.019.207	X1571.019.209	X1573.019.211	X1575.019.213	X1576.019.214	X1581.019.219	X1290.018.076	X1254.018.040	X1286.018.072	X1260.018.046	X1258.018.044	X1242.018.028	X1238.018.024	X1230.018.016	X1264.018.050	X1252.018.038	X1244.018.030	X1232.018.018	X1228.018.014	X1248.018.034	X1348.018.134	X1340.018.126	X1338.018.124	X1328.018.114	X1334.018.120	X1324.018.110	X1310.018.096	X1318.018.104	X1320.018.106	X1326.018.112	X1322.018.108	X1316.018.102	X1314.018.100	X1302.018.088	X1304.018.090	X1308.018.094	X1300.018.086	X1306.018.092	X1294.018.080	X1298.018.084	X1292.018.078	X1288.018.074	X1282.018.068	X1276.018.062	X1272.018.058	X1278.018.064	X1280.018.066
"KLF4", "NFKBIE", "RELB", "FOSB", "CLCF1", "FOSL2", "PTPRE", "CXCL10", "TNFAIP2", "RNF19B", "PDLIM5", "IL23A", "SAT1", "NFKB2", "IFIT2")	c("IL1B", "G0S2", "FOSB", "HBEGF", "EGR3", "BCL2A1", "EDN1", "AREG", "SLC2A3", "FOS", "CXCL2", "PDE4B", "FOSL1", "EGR1", "EGR2", "IL1A", "NR4A3", "GFPT2", "IL6", "PLEK", "SOCS3", "TNFAIP6", "CXCL3", "PLAUR", "BTG2", "BMP2", "IL23A", "ATF3", "NR4A1", "DUSP2", "NFIL3", "TNFSF9", "CXCL1", "PTGS2", "DUSP1", "CXCL6", "GPR183", "MAFF", "PTPRE", "CD80", "SERPINB2", "TNF", "PHLDA1", "TLR2", "ZFP36", "CCL20", "PPP1R15A", "CCL2", "MXD1", "CCL4", "PFKFB3", "TRIB1", "GEM", "IL7R", "MYC", "CLCF1", "OLR1", "SERPINE1", 
"GADD45A", "DUSP5", "LIF", "NFKBIA", "TNFRSF9", "ICAM1", "JUNB", "FJX1", "IER3", "TIPARP", "IER2", "TNFAIP3", "LDLR", "CD83", "KLF6", "NR4A2", "PMEPA1", "CDKN1A", "SIK1", "IFIT2", "ZC3H12A", "GADD45B", "PLAU", "PTX3", "INHBA", "DENND5A", "CD44", "SOD2", "NAMPT", "PHLDA2", "YRDC", "NFKBIE", "ETS2", "MAP3K8", "KLF10", "KLF4", "JUN", "KDM6B", "KLF2", "CCNL1", "SPHK1", "CCN1", "IFNGR2", "PLK2", "TNC", "BHLHE40", "EHD1", "RELB", "PNRC1", "NINJ1", "EIF1", "BCL3", "NFKB2", "RNF19B", "MCL1", "IL18", "MAP2K3", 
"LITAF", "CFLAR", "IER5", "TGIF1", "SLC16A6", "LAMB3", "EFNA1", "FOSL2", "GCH1", "IRS2", "SERPINB8")	c("INHBA", "SERPINE1", "FOSL1", "HBEGF", "EGR3", "G0S2", "IL1B", "BMP2", "CCL2", "MYC", "PHLDA1", "IL1A", "GFPT2", "SPHK1", "EGR2", "AREG", "BCL2A1", "IER5", "PHLDA2", "JUNB", "PLEK", "EDN1", "DUSP5", "TNC", "PTPRE", "SERPINB2", "SOCS3", "CEBPD", "TNFAIP6", "CXCL1", "OLR1", "CSF1", "SLC2A3", "CCL20", "MXD1", "SLC2A6", "JAG1", "CXCL6", "PLAUR", "CLCF1", "RELB", "CEBPB", "ZFP36", "BCL3", "CD44", "GPR183", "IL7R", "DUSP2", "PLAU", "ZC3H12A", "ABCA1", "KLF4", "IER2", "CCN1", "MAFF", "FOSB", "TNFSF9", 
"CD83", "KLF10", "CDKN1A", "IL23A", "EGR1", "IL18", "CXCL2", "TNIP2", "TRIP10", "GADD45B", "EHD1", "GADD45A", "ACKR3", "ID2", "IL15RA", "BHLHE40", "EFNA1", "PDE4B", "IER3", "KYNU", "RNF19B", "SLC16A6", "NFIL3", "NR4A1", "PMEPA1", "HES1", "KDM6B", "FJX1", "TRIB1", "VEGFA", "GCH1", "SERPINB8", "FOSL2", "PFKFB3", "NFKB2", "LAMB3", "YRDC", "IFNGR2", "NFKBIA", "CXCL11", "CCND1", "NFKB1", "FOS", "PLK2", "SIK1", "MAP2K3", "CD80", "TNFAIP2", "PDLIM5", "RELA", "RHOB", "BTG1", "BTG2", "NINJ1", "TNIP1", "DDX58", 
"GEM", "CCL4", "DUSP1", "SOD2", "SGK1", "MCL1", "NFKBIE", "BTG3")	c("PHLDA1", "FOS", "EGR1", "EGR3", "CXCL2", "IL1B", "G0S2", "SPHK1", "SOCS3", "IER3", "BCL2A1", "HBEGF", "PMEPA1", "EGR2", "INHBA", "BMP2", "CCN1", "IL1A", "CD83", "KLF2", "SLC2A6", "AREG", "DUSP1", "CXCL3", "FJX1", "CSF2", "PHLDA2", "EDN1", "JUNB", "NFKBIA", "DUSP4", "PDE4B", "GPR183", "BTG2", "CXCL6", "ZFP36", "SLC2A3", "OLR1", "CEBPD", "KLF6", "TNF", "PFKFB3", "RHOB", "FOSL1", "SIK1", "CEBPB", "MAFF", "CCL2", "IFNGR2", "FOSB", "SERPINB2", "EHD1", "ATF3", "CCL20", "CD69", "NFKBIE", "GADD45A", "KYNU", 
"IER5", "MXD1", "IL12B", "IL6", "IL15RA", "GFPT2", "IER2", "FUT4", "DUSP5", "CDKN1A", "JUN", "CXCL1", "PTPRE", "CD80", "TRIP10", "NFIL3", "PLEK", "RCAN1", "PLAUR", "PLAU", "KLF10", "BHLHE40", "ZC3H12A", "TNFSF9", "PLK2", "ICOSLG", "TNFRSF9", "PPP1R15A", "IL23A", "TNIP2", "MYC", "FOSL2", "GADD45B", "F2RL1", "LIF", "KLF4", "PDLIM5", "TRIB1", "IL7R", "ABCA1", "HES1", "SOD2", "NFKB2", "MCL1", "LDLR", "RNF19B", "LAMB3", "TNFAIP3", "CD44", "TIPARP", "TNFAIP2", "YRDC", "TGIF1")	c("FOSB", "PTX3", "CXCL3", "IL6", "CXCL2", "HBEGF", "FOS", "PTGS2", "AREG", "EGR3", "EGR1", "EGR2", "FOSL1", "GEM", "NR4A2", "NR4A3", "DUSP5", "NFKBIA", "G0S2", "EFNA1", "BMP2", "NR4A1", "ZC3H12A", "TNFSF9", "MAFF", "ABCA1", "YRDC", "MXD1", "SERPINB8", "BTG2", "NFIL3", "VEGFA", "CXCL1", "KLF9", "NAMPT", "BCL3", "IER2", "TRIP10", "B4GALT5", "PLAU", "PLK2", "BTG1", "OLR1", "EDN1", "SAT1", "F3", "MAP3K8", "ETS2", "IL1B", "PER1", "IER5", "RIPK2", "IL23A", "BCL6", "PNRC1", "SOCS3", "REL", "MCL1", "TNFRSF9", 
"TRIB1", "PTGER4", "F2RL1", "JAG1", "IL1A", "SNN", "TNFAIP8", "CCL20", "SGK1", "TGIF1")	c("IL1B", "BCL2A1", "ICOSLG", "SOCS3", "NR4A3", "G0S2", "SLC2A3", "PMEPA1", "EGR3", "PER1", "PTX3", "TNFAIP6", "HES1", "CXCL11", "CSF2", "EFNA1", "PDE4B", "INHBA", "PTGS2", "PLAUR", "CXCL10", "KLF9", "PNRC1", "GFPT2", "FOS", "GADD45B", "IER3", "PLEK", "FOSB", "JUNB", "CEBPD", "CXCL3", "ZFP36", "SERPINE1", "DUSP1", "SMAD3", "BTG2", "NFKBIA", "YRDC", "ICAM1", "TNFSF9", "KLF10", "MAFF", "RHOB", "BCL3", "EGR1", "NFIL3", "ETS2", "NFKB2", "SERPINB8", "BCL6", "MCL1")	c("CCL4", "EGR2", "CCL5", "CXCL10", "CXCL11", "CSF2", "MAFF", "SLC2A3", "PHLDA2", "EGR1", "NR4A1", "KLF2", "ID2", "CCN1", "DUSP2", "SIK1", "CEBPB", "AREG", "JUNB", "ABCA1", "SPHK1", "SLC2A6", "TNFRSF9", "SOCS3", "RHOB", "DUSP1", "TNF", "TNFSF9", "CD69", "CEBPD", "ICAM1", "MSC", "IER3", "TAP1", "HES1", "BCL2A1", "IRS2", "DRAM1", "DUSP5", "OLR1", "GADD45B", "DDX58", "JUN", "FOSL1", "FOSL2", "IL15RA", "TLR2", "GPR183", "EGR3", "PLEK", "IER2", "FUT4", "PTGER4", "LIF", "CD83", "CD80", "CSF1", "NR4A3", 
"SQSTM1", "PLAUR", "RELB", "KLF4", "BHLHE40", "STAT5A", "BTG2", "IFIT2", "ZFP36", "SNN", "KLF6", "VEGFA", "FOS", "KLF9", "TNIP2", "RCAN1", "NFAT5", "F3", "GCH1", "RNF19B", "MARCKS", "NR4A2", "CCRL2", "RIPK2", "EHD1", "TNIP1", "ICOSLG", "PER1", "ATF3", "BCL3", "KDM6B", "NINJ1", "B4GALT5", "IFIH1", "NAMPT")	c("CCL2", "IL1B", "CCL4", "IL6", "TNFAIP6", "BCL2A1", "G0S2", "IL1A", "PTX3", "CXCL3", "EGR3", "INHBA", "SLC2A3", "CXCL2", "CCL20", "CD83", "EGR2", "PDE4B", "NR4A3", "OLR1", "PLEK", "TNF", "PTGS2", "CXCL10", "PLAUR", "GFPT2", "CXCL1", "TNFSF9", "FOS", "SLC2A6", "EGR1", "GPR183", "CXCL6", "SOCS3", "HBEGF", "ICAM1", "DUSP2", "TNFRSF9", "FOSB", "ABCA1", "SPHK1", "RELB", "IL23A", "BMP2", "BTG2", "CDKN1A", "TNFAIP3", "PMEPA1", "LIF", "NFKB2", "PFKFB3", "DRAM1", "CD80", "TLR2", "PTPRE", "NFKBIA", "CXCL11", 
"NFKBIE", "PPP1R15A", "FOSL1", "VEGFA", "SOD2", "IER3", "MAFF", "IL7R", "MXD1", "DUSP1", "NINJ1", "EHD1", "CCN1", "CSF2", "CD69", "BIRC3", "JUNB", "KDM6B", "IER5", "PHLDA1", "BCL3", "ZFP36", "DUSP5", "MSC", "SPSB1", "MAP3K8", "STAT5A", "ICOSLG", "NR4A2", "GADD45B", "TAP1", "PLAU", "ZC3H12A", "PHLDA2", "IL12B", "AREG", "ID2", "TIPARP", "DDX58", "RIPK2", "IL15RA", "KLF2", "IFIT2", "TRAF1", "CLCF1", "JUN")	c("CXCL10", "CXCL11", "CCL2", "IL1B", "BCL2A1", "CD80", "TNFRSF9", "EGR2", "TNFAIP6", "EGR3", "FOSL1", "CCL4", "G0S2", "IL7R", "IL6", "IFIT2", "SOCS3", "IL1A", "INHBA", "TNF", "ICAM1", "CCL20", "HBEGF", "PLEK", "NR4A3", "PLAUR", "SLC2A6", "CD83", "OLR1", "GPR183", "CXCL2", "DDX58", "CD69", "EGR1", "EDN1", "SLC2A3", "PLAU", "PDE4B", "IFIH1", "RIPK2", "DUSP5", "CXCL3", "CSF1", "PTGS2", "PFKFB3", "PHLDA1", "GCH1", "SERPINE1", "BIRC3", "BMP2", "RELB", "IL15RA", "CXCL6", "CDKN1A", "MYC", "FOSB", "PHLDA2", 
"SIK1", "SLC16A6", "LDLR", "NFIL3", "GADD45B", "CSF2", "MAFF", "PTX3", "TAP1", "MXD1", "ATF3", "TLR2", "SOD2", "PMEPA1", "PTPRE", "NFKBIA", "CCRL2", "IRF1", "CCN1", "ZFP36", "LIF", "TNC", "TNFAIP3", "IER5", "KYNU", "FOS", "RNF19B", "NFKBIE", "AREG", "EHD1", "IL12B", "CXCL1", "MSC", "DRAM1", "TRIB1", "JUNB", "SPHK1", "BCL3", "NFKB2", "SERPINB2", "TRAF1", "PANX1", "PLK2", "KLF6", "LAMB3", "CEBPB", "NR4A2", "TNFAIP2", "MAP3K8", "NAMPT", "ETS2", "DENND5A", "CLCF1", "ZC3H12A", "CD44", "IFNGR2", "DUSP2", 
